step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.0003,1.19181
2,0.0004,0.0006,2.2053
3,0.0006,0.0009,3.20168
4,0.0008,0.0012,4.19408
5,0.001,0.0015,5.18556
6,0.0012,0.0018,6.17682
7,0.0014,0.0021,7.16804
8,0.0016,0.0024,8.15924
9,0.0018,0.0027,9.15014
10,0.002,0.003,10.1402
11,0.0022,0.0033,11.1294
12,0.0024,0.0036,12.1176
13,0.0026,0.0039,13.1047
14,0.0028,0.0042,14.0905
15,0.003,0.0045,15.0748
16,0.0032,0.0048,16.0577
17,0.0034,0.0051,17.0389
18,0.0036,0.0054,18.0184
19,0.0038,0.0057,18.996
20,0.004,0.006,19.9715
21,0.0042,0.0063,20.945
22,0.0044,0.0066,21.9162
23,0.0046,0.0069,22.8851
24,0.0048,0.0072,23.8515
25,0.005,0.0075,24.8154
26,0.0052,0.0078,25.7766
27,0.0054,0.0081,26.7351
28,0.0056,0.0084,27.6907
29,0.0058,0.0087,28.6434
30,0.006,0.009,29.5931
31,0.0062,0.0093,30.5397
32,0.0064,0.0096,31.4832
33,0.0066,0.0099,32.4233
34,0.0068,0.0102,33.3602
35,0.007,0.0105,34.2936
36,0.0072,0.0108,35.2236
37,0.0074,0.0111,36.15
38,0.0076,0.0114,37.0729
39,0.0078,0.0117,37.9922
40,0.008,0.012,38.9078
41,0.0082,0.0123,39.8196
42,0.0084,0.0126,40.7277
43,0.0086,0.0129,41.632
44,0.0088,0.0132,42.5324
45,0.009,0.0135,43.429
46,0.0092,0.0138,44.3217
47,0.0094,0.0141,45.2104
48,0.0096,0.0144,46.0952
49,0.0098,0.0147,46.9761
50,0.01,0.015,47.853
51,0.0102,0.0153,48.7259
52,0.0104,0.0156,49.5948
53,0.0106,0.0159,50.4598
54,0.0108,0.0162,51.3207
55,0.011,0.0165,52.1777
56,0.0112,0.0168,53.0307
57,0.0114,0.0171,53.8797
58,0.0116,0.0174,54.7248
59,0.0118,0.0177,55.5659
60,0.012,0.018,56.4031
61,0.0122,0.0183,57.2363
62,0.0124,0.0186,58.0657
63,0.0126,0.0189,58.8913
64,0.0128,0.0192,59.7129
65,0.013,0.0195,60.5308
66,0.0132,0.0198,61.3449
67,0.0134,0.0201,62.1553
68,0.0136,0.0204,62.9619
69,0.0138,0.0207,63.7648
70,0.014,0.021,64.5641
71,0.0142,0.0213,65.3598
72,0.0144,0.0216,66.1519
73,0.0146,0.0219,66.9405
74,0.0148,0.0222,67.7256
75,0.015,0.0225,68.5072
76,0.0152,0.0228,69.2855
77,0.0154,0.0231,70.0603
78,0.0156,0.0234,70.8319
79,0.0158,0.0237,71.6002
80,0.016,0.024,72.3652
81,0.0162,0.0243,73.1271
82,0.0164,0.0246,73.8858
83,0.0166,0.0249,74.6415
84,0.0168,0.0252,75.3941
85,0.017,0.0255,76.1437
86,0.0172,0.0258,76.8904
87,0.0174,0.0261,77.6341
88,0.0176,0.0264,78.3751
89,0.0178,0.0267,79.1132
90,0.018,0.027,79.8486
91,0.0182,0.0273,80.5812
92,0.0184,0.0276,81.3113
93,0.0186,0.0279,82.0387
94,0.0188,0.0282,82.7635
95,0.019,0.0285,83.4858
96,0.0192,0.0288,84.2057
97,0.0194,0.0291,84.9231
98,0.0196,0.0294,85.6382
99,0.0198,0.0297,86.3509
100,0.02,0.03,87.0614
101,0.0202,0.03,86.5905
102,0.0204,0.03,86.3041
103,0.0206,0.03,86.0409
104,0.0208,0.03,85.7875
105,0.021,0.03,85.5405
106,0.0212,0.03,85.2991
107,0.0214,0.03,85.0631
108,0.0216,0.03,84.8321
109,0.0218,0.03,84.606
110,0.022,0.03,84.3846
111,0.0222,0.03,84.1678
112,0.0224,0.03,83.9555
113,0.0226,0.03,83.7476
114,0.0228,0.03,83.5438
115,0.023,0.03,83.344
116,0.0232,0.03,83.1483
117,0.0234,0.03,82.9563
118,0.0236,0.03,82.7681
119,0.0238,0.03,82.5834
120,0.024,0.03,82.4023
121,0.0242,0.03,82.2246
122,0.0244,0.03,82.0502
123,0.0246,0.03,81.8791
124,0.0248,0.03,81.711
125,0.025,0.03,81.546
126,0.0252,0.03,81.384
127,0.0254,0.03,81.2249
128,0.0256,0.03,81.0685
129,0.0258,0.03,80.915
130,0.026,0.03,80.764
131,0.0262,0.03,80.6157
132,0.0264,0.03,80.4699
133,0.0266,0.03,80.3265
134,0.0268,0.03,80.1856
135,0.027,0.03,80.047
136,0.0272,0.03,79.9107
137,0.0274,0.03,79.7766
138,0.0276,0.03,79.6446
139,0.0278,0.03,79.5148
140,0.028,0.03,79.3871
141,0.0282,0.03,79.2614
142,0.0284,0.03,79.1377
143,0.0286,0.03,79.0158
144,0.0288,0.03,78.8959
145,0.029,0.03,78.7778
146,0.0292,0.03,78.6615
147,0.0294,0.03,78.547
148,0.0296,0.03,78.4341
149,0.0298,0.03,78.323
150,0.03,0.03,78.2135
151,0.0302,0.03,78.1056
152,0.0304,0.03,77.9992
153,0.0306,0.03,77.8944
154,0.0308,0.03,77.7911
155,0.031,0.03,77.6893
156,0.0312,0.03,77.5889
157,0.0314,0.03,77.4899
158,0.0316,0.03,77.3922
159,0.0318,0.03,77.296
160,0.032,0.03,77.201
161,0.0322,0.03,77.1074
162,0.0324,0.03,77.015
163,0.0326,0.03,76.9238
164,0.0328,0.03,76.8339
165,0.033,0.03,76.7452
166,0.0332,0.03,76.6576
167,0.0334,0.03,76.5712
168,0.0336,0.03,76.4859
169,0.0338,0.03,76.4017
170,0.034,0.03,76.3186
171,0.0342,0.03,76.2365
172,0.0344,0.03,76.1555
173,0.0346,0.03,76.0755
174,0.0348,0.03,75.9965
