step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.0001,0.470715
2,0.0004,0.0002,0.881992
3,0.0006,0.0003,1.28756
4,0.0008,0.0004,1.69181
5,0.001,0.0005,2.09575
6,0.0012,0.0006,2.49962
7,0.0014,0.0007,2.90347
8,0.0016,0.0008,3.30732
9,0.0018,0.0009,3.71116
10,0.002,0.001,4.11501
11,0.0022,0.0011,4.51885
12,0.0024,0.0012,4.9227
13,0.0026,0.0013,5.32655
14,0.0028,0.0014,5.73039
15,0.003,0.0015,6.13424
16,0.0032,0.0016,6.53809
17,0.0034,0.0017,6.94193
18,0.0036,0.0018,7.34578
19,0.0038,0.0019,7.74962
20,0.004,0.002,8.15347
21,0.0042,0.0021,8.55732
22,0.0044,0.0022,8.96116
23,0.0046,0.0023,9.36501
24,0.0048,0.0024,9.76885
25,0.005,0.0025,10.1727
26,0.0052,0.0026,10.5765
27,0.0054,0.0027,10.9804
28,0.0056,0.0028,11.3842
29,0.0058,0.0029,11.7881
30,0.006,0.003,12.1919
31,0.0062,0.0031,12.5958
32,0.0064,0.0032,12.9996
33,0.0066,0.0033,13.4035
34,0.0068,0.0034,13.8073
35,0.007,0.0035,14.2112
36,0.0072,0.0036,14.615
37,0.0074,0.0037,15.0189
38,0.0076,0.0038,15.4227
39,0.0078,0.0039,15.8265
40,0.008,0.004,16.2304
41,0.0082,0.0041,16.6342
42,0.0084,0.0042,17.0381
43,0.0086,0.0043,17.4419
44,0.0088,0.0044,17.8455
45,0.009,0.0045,18.2487
46,0.0092,0.0046,18.6516
47,0.0094,0.0047,19.0541
48,0.0096,0.0048,19.4563
49,0.0098,0.0049,19.8582
50,0.01,0.005,20.2596
51,0.0102,0.0051,20.6607
52,0.0104,0.0052,21.0613
53,0.0106,0.0053,21.4616
54,0.0108,0.0054,21.8614
55,0.011,0.0055,22.2608
56,0.0112,0.0056,22.6597
57,0.0114,0.0057,23.0581
58,0.0116,0.0058,23.4561
59,0.0118,0.0059,23.8536
60,0.012,0.006,24.2506
61,0.0122,0.0061,24.6471
62,0.0124,0.0062,25.0431
63,0.0126,0.0063,25.4386
64,0.0128,0.0064,25.8335
65,0.013,0.0065,26.2279
66,0.0132,0.0066,26.6217
67,0.0134,0.0067,27.0149
68,0.0136,0.0068,27.4076
69,0.0138,0.0069,27.7997
70,0.014,0.007,28.1912
71,0.0142,0.0071,28.5821
72,0.0144,0.0072,28.9723
73,0.0146,0.0073,29.362
74,0.0148,0.0074,29.751
75,0.015,0.0075,30.1393
76,0.0152,0.0076,30.5271
77,0.0154,0.0077,30.9141
78,0.0156,0.0078,31.3005
79,0.0158,0.0079,31.6863
80,0.016,0.008,32.0713
81,0.0162,0.0081,32.4557
82,0.0164,0.0082,32.8393
83,0.0166,0.0083,33.2223
84,0.0168,0.0084,33.6046
