step,time,strain_xx,stress_xx
192,0.0384,0.0192,79.6926
193,0.0386,0.0193,80.0254
194,0.0388,0.0194,80.3576
195,0.039,0.0195,80.6893
196,0.0392,0.0196,81.0205
197,0.0394,0.0197,81.351
198,0.0396,0.0198,81.6811
199,0.0398,0.0199,82.0106
200,0.04,0.02,82.3396
201,0.0402,0.0201,82.668
202,0.0404,0.0202,82.996
203,0.0406,0.0203,83.3234
204,0.0408,0.0204,83.6503
205,0.041,0.0205,83.9768
206,0.0412,0.0206,84.3027
207,0.0414,0.0207,84.6282
208,0.0416,0.0208,84.9532
209,0.0418,0.0209,85.2777
210,0.042,0.021,85.6017
211,0.0422,0.0211,85.9253
212,0.0424,0.0212,86.2484
213,0.0426,0.0213,86.5711
214,0.0428,0.0214,86.8934
215,0.043,0.0215,87.2152
216,0.0432,0.0216,87.5366
217,0.0434,0.0217,87.8575
218,0.0436,0.0218,88.178
219,0.0438,0.0219,88.4982
220,0.044,0.022,88.8179
221,0.0442,0.0221,89.1372
222,0.0444,0.0222,89.4561
223,0.0446,0.0223,89.7746
224,0.0448,0.0224,90.0927
225,0.045,0.0225,90.4105
226,0.0452,0.0226,90.7279
227,0.0454,0.0227,91.0449
228,0.0456,0.0228,91.3615
229,0.0458,0.0229,91.6778
230,0.046,0.023,91.9937
231,0.0462,0.0231,92.3093
232,0.0464,0.0232,92.6245
233,0.0466,0.0233,92.9394
234,0.0468,0.0234,93.2539
235,0.047,0.0235,93.5682
236,0.0472,0.0236,93.882
237,0.0474,0.0237,94.1956
238,0.0476,0.0238,94.5088
239,0.0478,0.0239,94.8218
240,0.048,0.024,95.1344
241,0.0482,0.0241,95.4467
242,0.0484,0.0242,95.7587
243,0.0486,0.0243,96.0704
244,0.0488,0.0244,96.3818
245,0.049,0.0245,96.693
246,0.0492,0.0246,97.0038
247,0.0494,0.0247,97.3144
248,0.0496,0.0248,97.6247
249,0.0498,0.0249,97.9347
250,0.05,0.025,98.2445
251,0.0502,0.0251,98.5539
252,0.0504,0.0252,98.8632
253,0.0506,0.0253,99.1721
254,0.0508,0.0254,99.4808
255,0.051,0.0255,99.7893
256,0.0512,0.0256,100.098
257,0.0514,0.0257,100.405
258,0.0516,0.0258,100.713
259,0.0518,0.0259,101.021
260,0.052,0.026,101.328
261,0.0522,0.0261,101.635
262,0.0524,0.0262,101.942
263,0.0526,0.0263,102.248
264,0.0528,0.0264,102.555
265,0.053,0.0265,102.861
266,0.0532,0.0266,103.167
267,0.0534,0.0267,103.473
268,0.0536,0.0268,103.778
269,0.0538,0.0269,104.083
270,0.054,0.027,104.389
271,0.0542,0.0271,104.693
272,0.0544,0.0272,104.998
273,0.0546,0.0273,105.303
274,0.0548,0.0274,105.607
275,0.055,0.0275,105.911
276,0.0552,0.0276,106.215
277,0.0554,0.0277,106.519
278,0.0556,0.0278,106.823
279,0.0558,0.0279,107.126
280,0.056,0.028,107.429
281,0.0562,0.0281,107.732
282,0.0564,0.0282,108.035
283,0.0566,0.0283,108.338
284,0.0568,0.0284,108.641
285,0.057,0.0285,108.943
286,0.0572,0.0286,109.245
287,0.0574,0.0287,109.548
288,0.0576,0.0288,109.85
289,0.0578,0.0289,110.151
290,0.058,0.029,110.453
291,0.0582,0.0291,110.755
292,0.0584,0.0292,111.056
293,0.0586,0.0293,111.357
294,0.0588,0.0294,111.658
295,0.059,0.0295,111.959
296,0.0592,0.0296,112.26
297,0.0594,0.0297,112.561
298,0.0596,0.0298,112.861
299,0.0598,0.0299,113.162
300,0.06,0.03,113.462
301,0.0602,0.03,113.228
302,0.0604,0.03,113.055
303,0.0606,0.03,112.891
304,0.0608,0.03,112.731
305,0.061,0.03,112.574
306,0.0612,0.03,112.419
307,0.0614,0.03,112.266
308,0.0616,0.03,112.115
309,0.0618,0.03,111.967
310,0.062,0.03,111.82
311,0.0622,0.03,111.676
312,0.0624,0.03,111.534
313,0.0626,0.03,111.394
314,0.0628,0.03,111.256
315,0.063,0.03,111.119
316,0.0632,0.03,110.985
317,0.0634,0.03,110.852
318,0.0636,0.03,110.722
319,0.0638,0.03,110.593
320,0.064,0.03,110.465
321,0.0642,0.03,110.34
322,0.0644,0.03,110.216
323,0.0646,0.03,110.094
324,0.0648,0.03,109.973
325,0.065,0.03,109.854
326,0.0652,0.03,109.736
327,0.0654,0.03,109.62
328,0.0656,0.03,109.506
329,0.0658,0.03,109.393
330,0.066,0.03,109.281
331,0.0662,0.03,109.171
332,0.0664,0.03,109.062
333,0.0666,0.03,108.954
334,0.0668,0.03,108.848
335,0.067,0.03,108.743
336,0.0672,0.03,108.639
337,0.0674,0.03,108.537
338,0.0676,0.03,108.436
339,0.0678,0.03,108.336
340,0.068,0.03,108.237
341,0.0682,0.03,108.139
342,0.0684,0.03,108.043
343,0.0686,0.03,107.947
344,0.0688,0.03,107.853
345,0.069,0.03,107.76
346,0.0692,0.03,107.668
347,0.0694,0.03,107.577
348,0.0696,0.03,107.487
349,0.0698,0.03,107.398
350,0.07,0.03,107.31
351,0.0702,0.03,107.223
352,0.0704,0.03,107.137
353,0.0706,0.03,107.052
354,0.0708,0.03,106.968
355,0.071,0.03,106.884
356,0.0712,0.03,106.802
357,0.0714,0.03,106.721
358,0.0716,0.03,106.64
359,0.0718,0.03,106.56
360,0.072,0.03,106.481
361,0.0722,0.03,106.403
362,0.0724,0.03,106.326
363,0.0726,0.03,106.25
364,0.0728,0.03,106.174
365,0.073,0.03,106.099
366,0.0732,0.03,106.025
367,0.0734,0.03,105.952
368,0.0736,0.03,105.879
369,0.0738,0.03,105.808
370,0.074,0.03,105.737
371,0.0742,0.03,105.666
372,0.0744,0.03,105.596
373,0.0746,0.03,105.528
374,0.0748,0.03,105.459
375,0.075,0.03,105.392
376,0.0752,0.03,105.325
377,0.0754,0.03,105.258
378,0.0756,0.03,105.193
379,0.0758,0.03,105.128
380,0.076,0.03,105.063
381,0.0762,0.03,105
382,0.0764,0.03,104.936
383,0.0766,0.03,104.874
384,0.0768,0.03,104.812
385,0.077,0.03,104.751
386,0.0772,0.03,104.69
387,0.0774,0.03,104.63
388,0.0776,0.03,104.57
389,0.0778,0.03,104.511
390,0.078,0.03,104.452
391,0.0782,0.03,104.394
392,0.0784,0.03,104.337
393,0.0786,0.03,104.28
394,0.0788,0.03,104.223
395,0.079,0.03,104.167
396,0.0792,0.03,104.112
397,0.0794,0.03,104.057
398,0.0796,0.03,104.002
399,0.0798,0.03,103.948
400,0.08,0.03,103.895
401,0.0802,0.03,103.842
402,0.0804,0.03,103.789
403,0.0806,0.03,103.737
404,0.0808,0.03,103.686
405,0.081,0.03,103.634
406,0.0812,0.03,103.584
407,0.0814,0.03,103.533
408,0.0816,0.03,103.483
409,0.0818,0.03,103.434
410,0.082,0.03,103.385
411,0.0822,0.03,103.336
412,0.0824,0.03,103.288
413,0.0826,0.03,103.24
414,0.0828,0.03,103.193
415,0.083,0.03,103.146
416,0.0832,0.03,103.099
417,0.0834,0.03,103.053
418,0.0836,0.03,103.007
419,0.0838,0.03,102.961
420,0.084,0.03,102.916
421,0.0842,0.03,102.871
422,0.0844,0.03,102.827
423,0.0846,0.03,102.783
424,0.0848,0.03,102.739
425,0.085,0.03,102.696
426,0.0852,0.03,102.653
427,0.0854,0.03,102.61
428,0.0856,0.03,102.568
429,0.0858,0.03,102.526
430,0.086,0.03,102.484
431,0.0862,0.03,102.443
432,0.0864,0.03,102.402
433,0.0866,0.03,102.361
434,0.0868,0.03,102.321
435,0.087,0.03,102.281
436,0.0872,0.03,102.241
437,0.0874,0.03,102.201
438,0.0876,0.03,102.162
439,0.0878,0.03,102.123
440,0.088,0.03,102.085
441,0.0882,0.03,102.047
442,0.0884,0.03,102.009
443,0.0886,0.03,101.971
444,0.0888,0.03,101.933
445,0.089,0.03,101.896
446,0.0892,0.03,101.859
447,0.0894,0.03,101.823
448,0.0896,0.03,101.787
449,0.0898,0.03,101.751
450,0.09,0.03,101.715
451,0.0902,0.03,101.679
452,0.0904,0.03,101.644
453,0.0906,0.03,101.609
454,0.0908,0.03,101.574
455,0.091,0.03,101.54
456,0.0912,0.03,101.505
457,0.0914,0.03,101.471
458,0.0916,0.03,101.438
459,0.0918,0.03,101.404
460,0.092,0.03,101.371
461,0.0922,0.03,101.338
462,0.0924,0.03,101.305
463,0.0926,0.03,101.272
464,0.0928,0.03,101.24
465,0.093,0.03,101.208
466,0.0932,0.03,101.176
467,0.0934,0.03,101.144
468,0.0936,0.03,101.113
469,0.0938,0.03,101.081
470,0.094,0.03,101.05
471,0.0942,0.03,101.019
472,0.0944,0.03,100.989
473,0.0946,0.03,100.958
474,0.0948,0.03,100.928
475,0.095,0.03,100.898
476,0.0952,0.03,100.868
477,0.0954,0.03,100.839
478,0.0956,0.03,100.809
479,0.0958,0.03,100.78
480,0.096,0.03,100.751
481,0.0962,0.03,100.722
482,0.0964,0.03,100.694
483,0.0966,0.03,100.665
484,0.0968,0.03,100.637
485,0.097,0.03,100.609
486,0.0972,0.03,100.581
487,0.0974,0.03,100.553
488,0.0976,0.03,100.526
489,0.0978,0.03,100.498
490,0.098,0.03,100.471
491,0.0982,0.03,100.444
492,0.0984,0.03,100.417
493,0.0986,0.03,100.391
494,0.0988,0.03,100.364
495,0.099,0.03,100.338
496,0.0992,0.03,100.312
497,0.0994,0.03,100.286
498,0.0996,0.03,100.26
499,0.0998,0.03,100.234
500,0.1,0.03,100.209
