step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.0006,2.38361
2,0.0004,0.0012,4.4106
3,0.0006,0.0018,6.40335
4,0.0008,0.0024,8.38816
5,0.001,0.003,10.3711
6,0.0012,0.0036,12.3536
7,0.0014,0.0042,14.3361
8,0.0016,0.0048,16.3185
9,0.0018,0.0054,18.3009
10,0.002,0.006,20.2833
11,0.0022,0.0066,22.2657
12,0.0024,0.0072,24.2481
13,0.0026,0.0078,26.2305
14,0.0028,0.0084,28.2114
15,0.003,0.009,30.1907
16,0.0032,0.0096,32.1684
17,0.0034,0.0102,34.1443
18,0.0036,0.0108,36.1181
19,0.0038,0.0114,38.0898
20,0.004,0.012,40.0591
21,0.0042,0.0126,42.0259
22,0.0044,0.0132,43.99
23,0.0046,0.0138,45.9512
24,0.0048,0.0144,47.9095
25,0.005,0.015,49.8646
26,0.0052,0.0156,51.8163
27,0.0054,0.0162,53.7646
28,0.0056,0.0168,55.7092
29,0.0058,0.0174,57.6501
30,0.006,0.018,59.5871
31,0.0062,0.0186,61.52
32,0.0064,0.0192,63.4487
33,0.0066,0.0198,65.3731
34,0.0068,0.0204,67.293
35,0.007,0.021,69.2083
36,0.0072,0.0216,71.119
37,0.0074,0.0222,73.0248
38,0.0076,0.0228,74.9257
39,0.0078,0.0234,76.8215
40,0.008,0.024,78.7122
41,0.0082,0.0246,80.5977
42,0.0084,0.0252,82.4778
43,0.0086,0.0258,84.3525
44,0.0088,0.0264,86.2217
45,0.009,0.027,88.0852
46,0.0092,0.0276,89.9431
47,0.0094,0.0282,91.7953
48,0.0096,0.0288,93.6417
49,0.0098,0.0294,95.4822
50,0.01,0.03,97.3167
51,0.0102,0.03,96.7724
52,0.0104,0.03,96.5861
53,0.0106,0.03,96.4355
54,0.0108,0.03,96.2941
55,0.011,0.03,96.1559
56,0.0112,0.03,96.0195
57,0.0114,0.03,95.8844
58,0.0116,0.03,95.7506
59,0.0118,0.03,95.6181
60,0.012,0.03,95.4868
61,0.0122,0.03,95.3567
62,0.0124,0.03,95.2278
63,0.0126,0.03,95.1001
64,0.0128,0.03,94.9736
65,0.013,0.03,94.8482
66,0.0132,0.03,94.7239
67,0.0134,0.03,94.6008
68,0.0136,0.03,94.4788
69,0.0138,0.03,94.3578
70,0.014,0.03,94.238
71,0.0142,0.03,94.1192
72,0.0144,0.03,94.0015
73,0.0146,0.03,93.8847
74,0.0148,0.03,93.7691
75,0.015,0.03,93.6544
76,0.0152,0.03,93.5407
77,0.0154,0.03,93.428
78,0.0156,0.03,93.3163
79,0.0158,0.03,93.2055
80,0.016,0.03,93.0957
81,0.0162,0.03,92.9868
82,0.0164,0.03,92.8788
83,0.0166,0.03,92.7718
84,0.0168,0.03,92.6656
85,0.017,0.03,92.5604
86,0.0172,0.03,92.456
87,0.0174,0.03,92.3525
88,0.0176,0.03,92.2498
89,0.0178,0.03,92.148
90,0.018,0.03,92.047
91,0.0182,0.03,91.9469
92,0.0184,0.03,91.8475
93,0.0186,0.03,91.749
94,0.0188,0.03,91.6513
95,0.019,0.03,91.5543
96,0.0192,0.03,91.4582
97,0.0194,0.03,91.3628
98,0.0196,0.03,91.2681
99,0.0198,0.03,91.1742
100,0.02,0.03,91.0811
101,0.0202,0.03,90.9887
102,0.0204,0.03,90.897
103,0.0206,0.03,90.806
104,0.0208,0.03,90.7157
105,0.021,0.03,90.6262
106,0.0212,0.03,90.5373
107,0.0214,0.03,90.4491
108,0.0216,0.03,90.3616
109,0.0218,0.03,90.2748
110,0.022,0.03,90.1886
111,0.0222,0.03,90.103
112,0.0224,0.03,90.0182
113,0.0226,0.03,89.9339
114,0.0228,0.03,89.8503
115,0.023,0.03,89.7673
116,0.0232,0.03,89.685
117,0.0234,0.03,89.6032
118,0.0236,0.03,89.5221
119,0.0238,0.03,89.4415
120,0.024,0.03,89.3616
121,0.0242,0.03,89.2822
122,0.0244,0.03,89.2034
123,0.0246,0.03,89.1252
124,0.0248,0.03,89.0475
125,0.025,0.03,88.9704
126,0.0252,0.03,88.8939
127,0.0254,0.03,88.8179
