step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.00012,0.476723
2,0.0004,0.00024,0.882119
3,0.0006,0.00036,1.28067
4,0.0008,0.00048,1.67763
5,0.001,0.0006,2.07422
6,0.0012,0.00072,2.47073
7,0.0014,0.00084,2.86721
8,0.0016,0.00096,3.2637
9,0.0018,0.00108,3.66018
10,0.002,0.0012,4.05666
11,0.0022,0.00132,4.45314
12,0.0024,0.00144,4.84962
13,0.0026,0.00156,5.2461
14,0.0028,0.00168,5.64258
15,0.003,0.0018,6.03906
16,0.0032,0.00192,6.43554
17,0.0034,0.00204,6.83202
18,0.0036,0.00216,7.2285
19,0.0038,0.00228,7.62498
20,0.004,0.0024,8.02146
21,0.0042,0.00252,8.41794
22,0.0044,0.00264,8.81437
23,0.0046,0.00276,9.21051
24,0.0048,0.00288,9.60637
25,0.005,0.003,10.0019
26,0.0052,0.00312,10.3972
27,0.0054,0.00324,10.7921
28,0.0056,0.00336,11.1866
29,0.0058,0.00348,11.5808
30,0.006,0.0036,11.9745
31,0.0062,0.00372,12.3679
32,0.0064,0.00384,12.7608
33,0.0066,0.00396,13.1532
34,0.0068,0.00408,13.5452
35,0.007,0.0042,13.9367
36,0.0072,0.00432,14.3276
37,0.0074,0.00444,14.718
38,0.0076,0.00456,15.1079
39,0.0078,0.00468,15.4972
40,0.008,0.0048,15.8859
41,0.0082,0.00492,16.274
42,0.0084,0.00504,16.6615
43,0.0086,0.00516,17.0484
44,0.0088,0.00528,17.4346
45,0.009,0.0054,17.8201
46,0.0092,0.00552,18.205
47,0.0094,0.00564,18.5891
48,0.0096,0.00576,18.9725
49,0.0098,0.00588,19.3552
50,0.01,0.006,19.7372
51,0.0102,0.00612,20.1184
52,0.0104,0.00624,20.4988
53,0.0106,0.00636,20.8785
54,0.0108,0.00648,21.2573
55,0.011,0.0066,21.6354
56,0.0112,0.00672,22.0126
57,0.0114,0.00684,22.389
58,0.0116,0.00696,22.7645
59,0.0118,0.00708,23.1392
60,0.012,0.0072,23.513
61,0.0122,0.00732,23.886
62,0.0124,0.00744,24.258
63,0.0126,0.00756,24.6292
64,0.0128,0.00768,24.9995
65,0.013,0.0078,25.3688
66,0.0132,0.00792,25.7373
67,0.0134,0.00804,26.1048
68,0.0136,0.00816,26.4714
69,0.0138,0.00828,26.837
70,0.014,0.0084,27.2017
71,0.0142,0.00852,27.5654
72,0.0144,0.00864,27.9282
73,0.0146,0.00876,28.29
74,0.0148,0.00888,28.6508
75,0.015,0.009,29.0107
76,0.0152,0.00912,29.3695
77,0.0154,0.00924,29.7274
78,0.0156,0.00936,30.0843
79,0.0158,0.00948,30.4403
80,0.016,0.0096,30.7952
81,0.0162,0.00972,31.1491
82,0.0164,0.00984,31.502
83,0.0166,0.00996,31.8539
84,0.0168,0.01008,32.2049
85,0.017,0.0102,32.5548
86,0.0172,0.01032,32.9037
87,0.0174,0.01044,33.2516
