step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.0001,0.397269
2,0.0004,0.0002,0.735099
3,0.0006,0.0003,1.06723
4,0.0008,0.0004,1.39803
5,0.001,0.0005,1.72852
6,0.0012,0.0006,2.05894
7,0.0014,0.0007,2.38935
8,0.0016,0.0008,2.71975
9,0.0018,0.0009,3.05015
10,0.002,0.001,3.38055
11,0.0022,0.0011,3.71095
12,0.0024,0.0012,4.04135
13,0.0026,0.0013,4.37175
14,0.0028,0.0014,4.70215
15,0.003,0.0015,5.03255
16,0.0032,0.0016,5.36295
17,0.0034,0.0017,5.69335
18,0.0036,0.0018,6.02375
19,0.0038,0.0019,6.35415
20,0.004,0.002,6.68455
21,0.0042,0.0021,7.01495
22,0.0044,0.0022,7.34535
23,0.0046,0.0023,7.67575
24,0.0048,0.0024,8.00615
25,0.005,0.0025,8.33655
26,0.0052,0.0026,8.66695
27,0.0054,0.0027,8.99716
28,0.0056,0.0028,9.32715
29,0.0058,0.0029,9.6569
30,0.006,0.003,9.9864
31,0.0062,0.0031,10.3156
32,0.0064,0.0032,10.6446
33,0.0066,0.0033,10.9733
34,0.0068,0.0034,11.3016
35,0.007,0.0035,11.6297
36,0.0072,0.0036,11.9574
37,0.0074,0.0037,12.2848
38,0.0076,0.0038,12.6118
39,0.0078,0.0039,12.9384
40,0.008,0.004,13.2647
41,0.0082,0.0041,13.5906
42,0.0084,0.0042,13.916
43,0.0086,0.0043,14.241
44,0.0088,0.0044,14.5656
45,0.009,0.0045,14.8898
46,0.0092,0.0046,15.2134
47,0.0094,0.0047,15.5367
48,0.0096,0.0048,15.8594
49,0.0098,0.0049,16.1816
50,0.01,0.005,16.5033
51,0.0102,0.0051,16.8246
52,0.0104,0.0052,17.1452
53,0.0106,0.0053,17.4654
54,0.0108,0.0054,17.785
55,0.011,0.0055,18.104
56,0.0112,0.0056,18.4225
57,0.0114,0.0057,18.7404
58,0.0116,0.0058,19.0577
59,0.0118,0.0059,19.3745
60,0.012,0.006,19.6906
61,0.0122,0.0061,20.0061
62,0.0124,0.0062,20.321
63,0.0126,0.0063,20.6352
64,0.0128,0.0064,20.9488
65,0.013,0.0065,21.2618
66,0.0132,0.0066,21.5741
67,0.0134,0.0067,21.8858
68,0.0136,0.0068,22.1967
69,0.0138,0.0069,22.5071
70,0.014,0.007,22.8167
71,0.0142,0.0071,23.1256
72,0.0144,0.0072,23.4339
73,0.0146,0.0073,23.7415
74,0.0148,0.0074,24.0483
75,0.015,0.0075,24.3545
76,0.0152,0.0076,24.6599
77,0.0154,0.0077,24.9646
78,0.0156,0.0078,25.2686
79,0.0158,0.0079,25.5719
80,0.016,0.008,25.8744
81,0.0162,0.0081,26.1762
82,0.0164,0.0082,26.4772
83,0.0166,0.0083,26.7776
84,0.0168,0.0084,27.0771
85,0.017,0.0085,27.376
86,0.0172,0.0086,27.674
87,0.0174,0.0087,27.9713
88,0.0176,0.0088,28.2679
89,0.0178,0.0089,28.5637
90,0.018,0.009,28.8588
91,0.0182,0.0091,29.153
92,0.0184,0.0092,29.4466
93,0.0186,0.0093,29.7393
94,0.0188,0.0094,30.0313
95,0.019,0.0095,30.3226
96,0.0192,0.0096,30.613
97,0.0194,0.0097,30.9027
98,0.0196,0.0098,31.1916
99,0.0198,0.0099,31.4798
100,0.02,0.01,31.7672
101,0.0202,0.0101,32.0538
102,0.0204,0.0102,32.3397
103,0.0206,0.0103,32.6248
104,0.0208,0.0104,32.9092
105,0.021,0.0105,33.1927
106,0.0212,0.0106,33.4756
107,0.0214,0.0107,33.7576
108,0.0216,0.0108,34.0389
109,0.0218,0.0109,34.3195
110,0.022,0.011,34.5993
111,0.0222,0.0111,34.8783
112,0.0224,0.0112,35.1566
113,0.0226,0.0113,35.4341
114,0.0228,0.0114,35.7109
115,0.023,0.0115,35.987
116,0.0232,0.0116,36.2623
117,0.0234,0.0117,36.5369
118,0.0236,0.0118,36.8107
119,0.0238,0.0119,37.0838
120,0.024,0.012,37.3562
121,0.0242,0.0121,37.6279
122,0.0244,0.0122,37.8988
123,0.0246,0.0123,38.169
124,0.0248,0.0124,38.4385
125,0.025,0.0125,38.7073
126,0.0252,0.0126,38.9754
127,0.0254,0.0127,39.2428
128,0.0256,0.0128,39.5095
129,0.0258,0.0129,39.7755
130,0.026,0.013,40.0408
131,0.0262,0.0131,40.3054
132,0.0264,0.0132,40.5693
133,0.0266,0.0133,40.8326
134,0.0268,0.0134,41.0951
135,0.027,0.0135,41.3571
136,0.0272,0.0136,41.6183
137,0.0274,0.0137,41.8789
138,0.0276,0.0138,42.1388
139,0.0278,0.0139,42.3981
140,0.028,0.014,42.6567
141,0.0282,0.0141,42.9147
142,0.0284,0.0142,43.1721
143,0.0286,0.0143,43.4288
144,0.0288,0.0144,43.6849
145,0.029,0.0145,43.9404
146,0.0292,0.0146,44.1953
147,0.0294,0.0147,44.4496
148,0.0296,0.0148,44.7032
149,0.0298,0.0149,44.9563
150,0.03,0.015,45.2087
151,0.0302,0.0151,45.4606
152,0.0304,0.0152,45.7119
153,0.0306,0.0153,45.9626
154,0.0308,0.0154,46.2127
155,0.031,0.0155,46.4622
156,0.0312,0.0156,46.7112
157,0.0314,0.0157,46.9597
158,0.0316,0.0158,47.2075
159,0.0318,0.0159,47.4549
160,0.032,0.016,47.7017
161,0.0322,0.0161,47.9479
162,0.0324,0.0162,48.1936
163,0.0326,0.0163,48.4388
