step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.00015,0.595903
2,0.0004,0.0003,1.10265
3,0.0006,0.00045,1.60084
4,0.0008,0.0006,2.09704
5,0.001,0.00075,2.59278
6,0.0012,0.0009,3.08841
7,0.0014,0.00105,3.58402
8,0.0016,0.0012,4.07962
9,0.0018,0.00135,4.57522
10,0.002,0.0015,5.07082
11,0.0022,0.00165,5.56642
12,0.0024,0.0018,6.06202
13,0.0026,0.00195,6.55762
14,0.0028,0.0021,7.05322
15,0.003,0.00225,7.54882
16,0.0032,0.0024,8.04442
17,0.0034,0.00255,8.54002
18,0.0036,0.0027,9.03541
19,0.0038,0.00285,9.53043
20,0.004,0.003,10.0251
21,0.0042,0.00315,10.5193
22,0.0044,0.0033,11.0131
23,0.0046,0.00345,11.5064
24,0.0048,0.0036,11.9993
25,0.005,0.00375,12.4916
26,0.0052,0.0039,12.9833
27,0.0054,0.00405,13.4744
28,0.0056,0.0042,13.965
29,0.0058,0.00435,14.4548
30,0.006,0.0045,14.944
31,0.0062,0.00465,15.4324
32,0.0064,0.0048,15.9202
33,0.0066,0.00495,16.4071
34,0.0068,0.0051,16.8933
35,0.007,0.00525,17.3786
36,0.0072,0.0054,17.8631
37,0.0074,0.00555,18.3466
38,0.0076,0.0057,18.8293
39,0.0078,0.00585,19.3111
40,0.008,0.006,19.7919
41,0.0082,0.00615,20.2717
42,0.0084,0.0063,20.7506
43,0.0086,0.00645,21.2284
44,0.0088,0.0066,21.7051
45,0.009,0.00675,22.1808
46,0.0092,0.0069,22.6554
47,0.0094,0.00705,23.1289
48,0.0096,0.0072,23.6013
49,0.0098,0.00735,24.0725
50,0.01,0.0075,24.5426
51,0.0102,0.00765,25.0115
52,0.0104,0.0078,25.4792
53,0.0106,0.00795,25.9457
54,0.0108,0.0081,26.4109
55,0.011,0.00825,26.8749
56,0.0112,0.0084,27.3377
57,0.0114,0.00855,27.7991
58,0.0116,0.0087,28.2593
59,0.0118,0.00885,28.7182
60,0.012,0.009,29.1758
61,0.0122,0.00915,29.6321
62,0.0124,0.0093,30.087
63,0.0126,0.00945,30.5406
64,0.0128,0.0096,30.9929
65,0.013,0.00975,31.4438
66,0.0132,0.0099,31.8933
67,0.0134,0.01005,32.3415
68,0.0136,0.0102,32.7883
69,0.0138,0.01035,33.2337
70,0.014,0.0105,33.6777
71,0.0142,0.01065,34.1204
72,0.0144,0.0108,34.5616
73,0.0146,0.01095,35.0014
74,0.0148,0.0111,35.4399
75,0.015,0.01125,35.8769
76,0.0152,0.0114,36.3126
77,0.0154,0.01155,36.7468
78,0.0156,0.0117,37.1796
79,0.0158,0.01185,37.611
80,0.016,0.012,38.0411
81,0.0162,0.01215,38.4697
82,0.0164,0.0123,38.8969
83,0.0166,0.01245,39.3227
84,0.0168,0.0126,39.7471
