step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.0001,0.3361
2,0.0004,0.0002,0.612761
3,0.0006,0.0003,0.883717
4,0.0008,0.0004,1.15335
5,0.001,0.0005,1.42267
6,0.0012,0.0006,1.69193
7,0.0014,0.0007,1.96116
8,0.0016,0.0008,2.23039
9,0.0018,0.0009,2.49962
10,0.002,0.001,2.76885
11,0.0022,0.0011,3.03809
12,0.0024,0.0012,3.30732
13,0.0026,0.0013,3.57655
14,0.0028,0.0014,3.84578
15,0.003,0.0015,4.11501
16,0.0032,0.0016,4.38424
17,0.0034,0.0017,4.65347
18,0.0036,0.0018,4.9227
19,0.0038,0.0019,5.19193
20,0.004,0.002,5.46116
21,0.0042,0.0021,5.73039
22,0.0044,0.0022,5.99962
23,0.0046,0.0023,6.26885
24,0.0048,0.0024,6.53809
25,0.005,0.0025,6.80732
26,0.0052,0.0026,7.07655
27,0.0054,0.0027,7.34578
28,0.0056,0.0028,7.61501
29,0.0058,0.0029,7.88424
30,0.006,0.003,8.15347
31,0.0062,0.0031,8.4227
32,0.0064,0.0032,8.69193
33,0.0066,0.0033,8.96116
34,0.0068,0.0034,9.23039
35,0.007,0.0035,9.49962
36,0.0072,0.0036,9.76885
37,0.0074,0.0037,10.0381
38,0.0076,0.0038,10.3073
39,0.0078,0.0039,10.5765
40,0.008,0.004,10.8458
41,0.0082,0.0041,11.115
42,0.0084,0.0042,11.3842
43,0.0086,0.0043,11.6535
44,0.0088,0.0044,11.9227
45,0.009,0.0045,12.1919
46,0.0092,0.0046,12.4612
47,0.0094,0.0047,12.7304
48,0.0096,0.0048,12.9996
49,0.0098,0.0049,13.2689
50,0.01,0.005,13.5381
51,0.0102,0.0051,13.8073
52,0.0104,0.0052,14.0765
53,0.0106,0.0053,14.3458
54,0.0108,0.0054,14.615
55,0.011,0.0055,14.8842
56,0.0112,0.0056,15.1535
57,0.0114,0.0057,15.4227
58,0.0116,0.0058,15.6919
59,0.0118,0.0059,15.9612
60,0.012,0.006,16.2304
61,0.0122,0.0061,16.4996
62,0.0124,0.0062,16.7689
63,0.0126,0.0063,17.0381
64,0.0128,0.0064,17.3073
65,0.013,0.0065,17.5765
66,0.0132,0.0066,17.8455
67,0.0134,0.0067,18.1144
68,0.0136,0.0068,18.3831
69,0.0138,0.0069,18.6517
70,0.014,0.007,18.9202
71,0.0142,0.0071,19.1885
72,0.0144,0.0072,19.4566
73,0.0146,0.0073,19.7246
74,0.0148,0.0074,19.9924
75,0.015,0.0075,20.26
76,0.0152,0.0076,20.5275
77,0.0154,0.0077,20.7947
78,0.0156,0.0078,21.0618
79,0.0158,0.0079,21.3288
80,0.016,0.008,21.5955
81,0.0162,0.0081,21.862
82,0.0164,0.0082,22.1284
83,0.0166,0.0083,22.3945
84,0.0168,0.0084,22.6605
85,0.017,0.0085,22.9262
86,0.0172,0.0086,23.1918
87,0.0174,0.0087,23.4571
88,0.0176,0.0088,23.7222
89,0.0178,0.0089,23.9871
90,0.018,0.009,24.2518
91,0.0182,0.0091,24.5162
92,0.0184,0.0092,24.7804
93,0.0186,0.0093,25.0444
94,0.0188,0.0094,25.3082
95,0.019,0.0095,25.5717
96,0.0192,0.0096,25.835
97,0.0194,0.0097,26.098
98,0.0196,0.0098,26.3608
99,0.0198,0.0099,26.6234
100,0.02,0.01,26.8857
101,0.0202,0.0101,27.1477
102,0.0204,0.0102,27.4095
103,0.0206,0.0103,27.671
104,0.0208,0.0104,27.9322
105,0.021,0.0105,28.1932
106,0.0212,0.0106,28.454
107,0.0214,0.0107,28.7144
108,0.0216,0.0108,28.9746
109,0.0218,0.0109,29.2345
110,0.022,0.011,29.4941
111,0.0222,0.0111,29.7535
112,0.0224,0.0112,30.0125
113,0.0226,0.0113,30.2713
114,0.0228,0.0114,30.5298
115,0.023,0.0115,30.788
116,0.0232,0.0116,31.0459
117,0.0234,0.0117,31.3035
118,0.0236,0.0118,31.5608
119,0.0238,0.0119,31.8178
120,0.024,0.012,32.0745
121,0.0242,0.0121,32.3309
122,0.0244,0.0122,32.587
123,0.0246,0.0123,32.8428
124,0.0248,0.0124,33.0982
125,0.025,0.0125,33.3534
126,0.0252,0.0126,33.6082
127,0.0254,0.0127,33.8628
128,0.0256,0.0128,34.117
129,0.0258,0.0129,34.3709
130,0.026,0.013,34.6245
131,0.0262,0.0131,34.8777
132,0.0264,0.0132,35.1306
133,0.0266,0.0133,35.3832
134,0.0268,0.0134,35.6355
135,0.027,0.0135,35.8874
136,0.0272,0.0136,36.139
137,0.0274,0.0137,36.3903
138,0.0276,0.0138,36.6412
139,0.0278,0.0139,36.8918
140,0.028,0.014,37.1421
141,0.0282,0.0141,37.392
142,0.0284,0.0142,37.6416
143,0.0286,0.0143,37.8909
144,0.0288,0.0144,38.1398
145,0.029,0.0145,38.3883
146,0.0292,0.0146,38.6365
147,0.0294,0.0147,38.8844
148,0.0296,0.0148,39.1319
149,0.0298,0.0149,39.3791
150,0.03,0.015,39.6259
151,0.0302,0.0151,39.8724
152,0.0304,0.0152,40.1185
153,0.0306,0.0153,40.3643
154,0.0308,0.0154,40.6097
155,0.031,0.0155,40.8547
156,0.0312,0.0156,41.0995
157,0.0314,0.0157,41.3438
158,0.0316,0.0158,41.5878
159,0.0318,0.0159,41.8314
160,0.032,0.016,42.0747
161,0.0322,0.0161,42.3176
162,0.0324,0.0162,42.5602
163,0.0326,0.0163,42.8024
164,0.0328,0.0164,43.0443
165,0.033,0.0165,43.2857
166,0.0332,0.0166,43.5269
167,0.0334,0.0167,43.7676
168,0.0336,0.0168,44.008
169,0.0338,0.0169,44.2481
170,0.034,0.017,44.4877
171,0.0342,0.0171,44.7271
172,0.0344,0.0172,44.966
173,0.0346,0.0173,45.2046
174,0.0348,0.0174,45.4428
175,0.035,0.0175,45.6807
176,0.0352,0.0176,45.9182
177,0.0354,0.0177,46.1553
178,0.0356,0.0178,46.3921
179,0.0358,0.0179,46.6285
180,0.036,0.018,46.8646
181,0.0362,0.0181,47.1002
182,0.0364,0.0182,47.3356
183,0.0366,0.0183,47.5705
184,0.0368,0.0184,47.8051
185,0.037,0.0185,48.0393
186,0.0372,0.0186,48.2732
187,0.0374,0.0187,48.5067
188,0.0376,0.0188,48.7398
189,0.0378,0.0189,48.9726
190,0.038,0.019,49.205
191,0.0382,0.0191,49.4371
192,0.0384,0.0192,49.6688
193,0.0386,0.0193,49.9001
194,0.0388,0.0194,50.1311
195,0.039,0.0195,50.3617
196,0.0392,0.0196,50.5919
197,0.0394,0.0197,50.8218
198,0.0396,0.0198,51.0514
199,0.0398,0.0199,51.2805
200,0.04,0.02,51.5094
201,0.0402,0.0201,51.7378
202,0.0404,0.0202,51.9659
203,0.0406,0.0203,52.1937
204,0.0408,0.0204,52.421
205,0.041,0.0205,52.6481
206,0.0412,0.0206,52.8748
207,0.0414,0.0207,53.1011
208,0.0416,0.0208,53.3271
209,0.0418,0.0209,53.5527
210,0.042,0.021,53.778
211,0.0422,0.0211,54.0029
212,0.0424,0.0212,54.2275
213,0.0426,0.0213,54.4517
214,0.0428,0.0214,54.6756
215,0.043,0.0215,54.8991
216,0.0432,0.0216,55.1223
217,0.0434,0.0217,55.3451
218,0.0436,0.0218,55.5676
219,0.0438,0.0219,55.7897
220,0.044,0.022,56.0115
221,0.0442,0.0221,56.233
222,0.0444,0.0222,56.4541
223,0.0446,0.0223,56.6749
224,0.0448,0.0224,56.8954
225,0.045,0.0225,57.1155
226,0.0452,0.0226,57.3352
227,0.0454,0.0227,57.5547
228,0.0456,0.0228,57.7738
229,0.0458,0.0229,57.9925
230,0.046,0.023,58.211
231,0.0462,0.0231,58.4291
232,0.0464,0.0232,58.6468
233,0.0466,0.0233,58.8643
234,0.0468,0.0234,59.0814
235,0.047,0.0235,59.2982
236,0.0472,0.0236,59.5146
237,0.0474,0.0237,59.7308
238,0.0476,0.0238,59.9466
239,0.0478,0.0239,60.1621
240,0.048,0.024,60.3772
241,0.0482,0.0241,60.5921
242,0.0484,0.0242,60.8066
243,0.0486,0.0243,61.0208
244,0.0488,0.0244,61.2347
245,0.049,0.0245,61.4483
246,0.0492,0.0246,61.6616
247,0.0494,0.0247,61.8745
248,0.0496,0.0248,62.0872
249,0.0498,0.0249,62.2995
250,0.05,0.025,62.5115
251,0.0502,0.0251,62.7232
252,0.0504,0.0252,62.9347
253,0.0506,0.0253,63.1458
254,0.0508,0.0254,63.3566
255,0.051,0.0255,63.5671
256,0.0512,0.0256,63.7773
257,0.0514,0.0257,63.9872
258,0.0516,0.0258,64.1968
259,0.0518,0.0259,64.4061
260,0.052,0.026,64.6151
261,0.0522,0.0261,64.8238
262,0.0524,0.0262,65.0323
263,0.0526,0.0263,65.2404
264,0.0528,0.0264,65.4482
265,0.053,0.0265,65.6558
266,0.0532,0.0266,65.8631
267,0.0534,0.0267,66.0701
268,0.0536,0.0268,66.2768
269,0.0538,0.0269,66.4832
270,0.054,0.027,66.6893
271,0.0542,0.0271,66.8952
272,0.0544,0.0272,67.1008
273,0.0546,0.0273,67.3061
274,0.0548,0.0274,67.5111
275,0.055,0.0275,67.7158
276,0.0552,0.0276,67.9203
277,0.0554,0.0277,68.1245
278,0.0556,0.0278,68.3285
279,0.0558,0.0279,68.5321
280,0.056,0.028,68.7356
281,0.0562,0.0281,68.9387
282,0.0564,0.0282,69.1416
283,0.0566,0.0283,69.3442
284,0.0568,0.0284,69.5465
285,0.057,0.0285,69.7486
286,0.0572,0.0286,69.9505
287,0.0574,0.0287,70.152
288,0.0576,0.0288,70.3534
289,0.0578,0.0289,70.5544
290,0.058,0.029,70.7552
291,0.0582,0.0291,70.9558
292,0.0584,0.0292,71.1561
293,0.0586,0.0293,71.3562
294,0.0588,0.0294,71.556
295,0.059,0.0295,71.7556
296,0.0592,0.0296,71.9549
297,0.0594,0.0297,72.154
298,0.0596,0.0298,72.3528
299,0.0598,0.0299,72.5514
300,0.06,0.03,72.7498
301,0.0602,0.03,72.613
302,0.0604,0.03,72.5362
303,0.0606,0.03,72.4657
304,0.0608,0.03,72.3969
305,0.061,0.03,72.329
306,0.0612,0.03,72.2617
307,0.0614,0.03,72.1948
308,0.0616,0.03,72.1285
309,0.0618,0.03,72.0627
310,0.062,0.03,71.9973
311,0.0622,0.03,71.9324
312,0.0624,0.03,71.868
313,0.0626,0.03,71.8041
314,0.0628,0.03,71.7406
315,0.063,0.03,71.6775
316,0.0632,0.03,71.6149
317,0.0634,0.03,71.5528
318,0.0636,0.03,71.4911
319,0.0638,0.03,71.4298
320,0.064,0.03,71.369
321,0.0642,0.03,71.3086
322,0.0644,0.03,71.2486
323,0.0646,0.03,71.1891
324,0.0648,0.03,71.1299
325,0.065,0.03,71.0712
326,0.0652,0.03,71.0129
327,0.0654,0.03,70.9549
328,0.0656,0.03,70.8974
329,0.0658,0.03,70.8403
330,0.066,0.03,70.7835
331,0.0662,0.03,70.7272
332,0.0664,0.03,70.6712
333,0.0666,0.03,70.6156
334,0.0668,0.03,70.5604
335,0.067,0.03,70.5055
336,0.0672,0.03,70.451
337,0.0674,0.03,70.3969
338,0.0676,0.03,70.3431
339,0.0678,0.03,70.2897
340,0.068,0.03,70.2366
341,0.0682,0.03,70.1839
342,0.0684,0.03,70.1316
343,0.0686,0.03,70.0795
344,0.0688,0.03,70.0278
345,0.069,0.03,69.9765
346,0.0692,0.03,69.9255
347,0.0694,0.03,69.8748
348,0.0696,0.03,69.8244
349,0.0698,0.03,69.7744
350,0.07,0.03,69.7247
351,0.0702,0.03,69.6753
352,0.0704,0.03,69.6262
353,0.0706,0.03,69.5774
354,0.0708,0.03,69.5289
355,0.071,0.03,69.4808
356,0.0712,0.03,69.4329
357,0.0714,0.03,69.3853
358,0.0716,0.03,69.3381
359,0.0718,0.03,69.2911
360,0.072,0.03,69.2444
361,0.0722,0.03,69.198
362,0.0724,0.03,69.1519
363,0.0726,0.03,69.1061
364,0.0728,0.03,69.0605
365,0.073,0.03,69.0153
366,0.0732,0.03,68.9703
367,0.0734,0.03,68.9256
368,0.0736,0.03,68.8811
369,0.0738,0.03,68.8369
370,0.074,0.03,68.793
371,0.0742,0.03,68.7494
372,0.0744,0.03,68.706
373,0.0746,0.03,68.6629
374,0.0748,0.03,68.62
375,0.075,0.03,68.5774
376,0.0752,0.03,68.535
377,0.0754,0.03,68.4929
378,0.0756,0.03,68.451
379,0.0758,0.03,68.4094
380,0.076,0.03,68.368
381,0.0762,0.03,68.3269
382,0.0764,0.03,68.286
383,0.0766,0.03,68.2453
384,0.0768,0.03,68.2049
385,0.077,0.03,68.1647
386,0.0772,0.03,68.1247
387,0.0774,0.03,68.085
388,0.0776,0.03,68.0455
389,0.0778,0.03,68.0062
390,0.078,0.03,67.9671
391,0.0782,0.03,67.9283
392,0.0784,0.03,67.8897
393,0.0786,0.03,67.8513
394,0.0788,0.03,67.8131
395,0.079,0.03,67.7751
396,0.0792,0.03,67.7374
397,0.0794,0.03,67.6998
398,0.0796,0.03,67.6625
399,0.0798,0.03,67.6254
400,0.08,0.03,67.5884
401,0.0802,0.03,67.5517
402,0.0804,0.03,67.5152
403,0.0806,0.03,67.4789
404,0.0808,0.03,67.4428
405,0.081,0.03,67.4069
406,0.0812,0.03,67.3711
407,0.0814,0.03,67.3356
408,0.0816,0.03,67.3003
409,0.0818,0.03,67.2651
410,0.082,0.03,67.2301
411,0.0822,0.03,67.1954
412,0.0824,0.03,67.1608
413,0.0826,0.03,67.1264
414,0.0828,0.03,67.0922
