step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.0002,0.794538
2,0.0004,0.0004,1.4702
3,0.0006,0.0006,2.13445
4,0.0008,0.0008,2.79605
5,0.001,0.001,3.45704
6,0.0012,0.0012,4.11788
7,0.0014,0.0014,4.77869
8,0.0016,0.0016,5.43949
9,0.0018,0.0018,6.10029
10,0.002,0.002,6.76109
11,0.0022,0.0022,7.42189
12,0.0024,0.0024,8.08269
13,0.0026,0.0026,8.74349
14,0.0028,0.0028,9.40379
15,0.003,0.003,10.0636
16,0.0032,0.0032,10.7228
17,0.0034,0.0034,11.3814
18,0.0036,0.0036,12.0394
19,0.0038,0.0038,12.6966
20,0.004,0.004,13.353
21,0.0042,0.0042,14.0086
22,0.0044,0.0044,14.6633
23,0.0046,0.0046,15.3171
24,0.0048,0.0048,15.9698
25,0.005,0.005,16.6215
26,0.0052,0.0052,17.2721
27,0.0054,0.0054,17.9216
28,0.0056,0.0056,18.5698
29,0.0058,0.0058,19.2167
30,0.006,0.006,19.8624
31,0.0062,0.0062,20.5067
32,0.0064,0.0064,21.1497
33,0.0066,0.0066,21.7911
34,0.0068,0.0068,22.4311
35,0.007,0.007,23.0696
36,0.0072,0.0072,23.7065
37,0.0074,0.0074,24.3418
38,0.0076,0.0076,24.9755
39,0.0078,0.0078,25.6075
40,0.008,0.008,26.2378
41,0.0082,0.0082,26.8663
42,0.0084,0.0084,27.493
43,0.0086,0.0086,28.118
44,0.0088,0.0088,28.741
45,0.009,0.009,29.3623
46,0.0092,0.0092,29.9816
47,0.0094,0.0094,30.599
48,0.0096,0.0096,31.2144
49,0.0098,0.0098,31.8279
50,0.01,0.01,32.4394
51,0.0102,0.0102,33.0488
52,0.0104,0.0104,33.6563
53,0.0106,0.0106,34.2616
54,0.0108,0.0108,34.8649
55,0.011,0.011,35.4662
56,0.0112,0.0112,36.0653
57,0.0114,0.0114,36.6623
58,0.0116,0.0116,37.2572
59,0.0118,0.0118,37.85
60,0.012,0.012,38.4406
61,0.0122,0.0122,39.0291
62,0.0124,0.0124,39.6154
63,0.0126,0.0126,40.1996
64,0.0128,0.0128,40.7816
65,0.013,0.013,41.3615
66,0.0132,0.0132,41.9391
67,0.0134,0.0134,42.5147
68,0.0136,0.0136,43.088
69,0.0138,0.0138,43.6592
70,0.014,0.014,44.2282
71,0.0142,0.0142,44.7951
72,0.0144,0.0144,45.3598
73,0.0146,0.0146,45.9224
74,0.0148,0.0148,46.4828
75,0.015,0.015,47.0411
76,0.0152,0.0152,47.5973
77,0.0154,0.0154,48.1514
78,0.0156,0.0156,48.7033
79,0.0158,0.0158,49.2532
80,0.016,0.016,49.801
81,0.0162,0.0162,50.3467
82,0.0164,0.0164,50.8903
83,0.0166,0.0166,51.4319
84,0.0168,0.0168,51.9715
85,0.017,0.017,52.509
86,0.0172,0.0172,53.0446
87,0.0174,0.0174,53.5782
88,0.0176,0.0176,54.1098
89,0.0178,0.0178,54.6394
90,0.018,0.018,55.1671
91,0.0182,0.0182,55.6929
92,0.0184,0.0184,56.2168
93,0.0186,0.0186,56.7388
94,0.0188,0.0188,57.2589
95,0.019,0.019,57.7772
96,0.0192,0.0192,58.2937
97,0.0194,0.0194,58.8083
98,0.0196,0.0196,59.3212
99,0.0198,0.0198,59.8323
100,0.02,0.02,60.3416
101,0.0202,0.0202,60.8493
102,0.0204,0.0204,61.3552
103,0.0206,0.0206,61.8594
104,0.0208,0.0208,62.362
105,0.021,0.021,62.8629
106,0.0212,0.0212,63.3622
107,0.0214,0.0214,63.86
108,0.0216,0.0216,64.3561
109,0.0218,0.0218,64.8506
110,0.022,0.022,65.3437
111,0.0222,0.0222,65.8352
112,0.0224,0.0224,66.3252
113,0.0226,0.0226,66.8137
114,0.0228,0.0228,67.3008
115,0.023,0.023,67.7865
116,0.0232,0.0232,68.2707
117,0.0234,0.0234,68.7536
118,0.0236,0.0236,69.235
119,0.0238,0.0238,69.7152
120,0.024,0.024,70.194
121,0.0242,0.0242,70.6715
122,0.0244,0.0244,71.1477
123,0.0246,0.0246,71.6226
124,0.0248,0.0248,72.0963
125,0.025,0.025,72.5688
126,0.0252,0.0252,73.04
127,0.0254,0.0254,73.5101
128,0.0256,0.0256,73.979
129,0.0258,0.0258,74.4467
130,0.026,0.026,74.9133
131,0.0262,0.0262,75.3789
132,0.0264,0.0264,75.8433
133,0.0266,0.0266,76.3066
134,0.0268,0.0268,76.7689
135,0.027,0.027,77.2302
136,0.0272,0.0272,77.6904
137,0.0274,0.0274,78.1496
138,0.0276,0.0276,78.6079
139,0.0278,0.0278,79.0651
140,0.028,0.028,79.5215
141,0.0282,0.0282,79.9769
142,0.0284,0.0284,80.4313
143,0.0286,0.0286,80.8849
144,0.0288,0.0288,81.3376
145,0.029,0.029,81.7895
146,0.0292,0.0292,82.2404
147,0.0294,0.0294,82.6906
148,0.0296,0.0296,83.1399
149,0.0298,0.0298,83.5885
150,0.03,0.03,84.0362
151,0.0302,0.03,83.696
152,0.0304,0.03,83.4789
153,0.0306,0.03,83.2773
154,0.0308,0.03,83.0822
155,0.031,0.03,82.8915
156,0.0312,0.03,82.7046
157,0.0314,0.03,82.5213
158,0.0316,0.03,82.3415
159,0.0318,0.03,82.1651
160,0.032,0.03,81.9919
161,0.0322,0.03,81.8219
162,0.0324,0.03,81.6551
163,0.0326,0.03,81.4912
164,0.0328,0.03,81.3303
165,0.033,0.03,81.1722
166,0.0332,0.03,81.017
167,0.0334,0.03,80.8644
168,0.0336,0.03,80.7144
169,0.0338,0.03,80.5671
170,0.034,0.03,80.4222
171,0.0342,0.03,80.2798
172,0.0344,0.03,80.1397
173,0.0346,0.03,80.002
174,0.0348,0.03,79.8665
175,0.035,0.03,79.7332
176,0.0352,0.03,79.6021
177,0.0354,0.03,79.4731
178,0.0356,0.03,79.3461
179,0.0358,0.03,79.2212
180,0.036,0.03,79.0981
181,0.0362,0.03,78.977
182,0.0364,0.03,78.8578
183,0.0366,0.03,78.7404
184,0.0368,0.03,78.6247
185,0.037,0.03,78.5108
186,0.0372,0.03,78.3986
187,0.0374,0.03,78.2881
188,0.0376,0.03,78.1792
189,0.0378,0.03,78.0719
190,0.038,0.03,77.9661
191,0.0382,0.03,77.8619
192,0.0384,0.03,77.7591
193,0.0386,0.03,77.6578
194,0.0388,0.03,77.5579
195,0.039,0.03,77.4594
196,0.0392,0.03,77.3623
197,0.0394,0.03,77.2665
198,0.0396,0.03,77.1721
199,0.0398,0.03,77.0789
200,0.04,0.03,76.987
201,0.0402,0.03,76.8963
202,0.0404,0.03,76.8068
203,0.0406,0.03,76.7185
204,0.0408,0.03,76.6313
205,0.041,0.03,76.5453
206,0.0412,0.03,76.4604
207,0.0414,0.03,76.3766
208,0.0416,0.03,76.2939
209,0.0418,0.03,76.2122
210,0.042,0.03,76.1316
211,0.0422,0.03,76.052
