step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.0001,0.403407
2,0.0004,0.0002,0.747376
3,0.0006,0.0003,1.08564
4,0.0008,0.0004,1.42258
5,0.001,0.0005,1.75921
6,0.0012,0.0006,2.09577
7,0.0014,0.0007,2.43231
8,0.0016,0.0008,2.76885
9,0.0018,0.0009,3.10539
10,0.002,0.001,3.44193
11,0.0022,0.0011,3.77847
12,0.0024,0.0012,4.11501
13,0.0026,0.0013,4.45155
14,0.0028,0.0014,4.78809
15,0.003,0.0015,5.12462
16,0.0032,0.0016,5.46116
17,0.0034,0.0017,5.7977
18,0.0036,0.0018,6.13424
19,0.0038,0.0019,6.47078
20,0.004,0.002,6.80732
21,0.0042,0.0021,7.14385
22,0.0044,0.0022,7.48039
23,0.0046,0.0023,7.81693
24,0.0048,0.0024,8.15347
25,0.005,0.0025,8.49001
26,0.0052,0.0026,8.82655
27,0.0054,0.0027,9.16309
28,0.0056,0.0028,9.49962
29,0.0058,0.0029,9.83616
30,0.006,0.003,10.1727
31,0.0062,0.0031,10.5092
32,0.0064,0.0032,10.8458
33,0.0066,0.0033,11.1823
34,0.0068,0.0034,11.5189
35,0.007,0.0035,11.8554
36,0.0072,0.0036,12.1919
37,0.0074,0.0037,12.5285
38,0.0076,0.0038,12.865
39,0.0078,0.0039,13.2015
40,0.008,0.004,13.5381
41,0.0082,0.0041,13.8746
42,0.0084,0.0042,14.2112
43,0.0086,0.0043,14.5477
44,0.0088,0.0044,14.8842
45,0.009,0.0045,15.2208
46,0.0092,0.0046,15.5573
47,0.0094,0.0047,15.8939
48,0.0096,0.0048,16.2304
49,0.0098,0.0049,16.5669
50,0.01,0.005,16.9035
51,0.0102,0.0051,17.24
52,0.0104,0.0052,17.5765
53,0.0106,0.0053,17.9127
54,0.0108,0.0054,18.2487
55,0.011,0.0055,18.5845
56,0.0112,0.0056,18.9201
57,0.0114,0.0057,19.2554
58,0.0116,0.0058,19.5905
59,0.0118,0.0059,19.9253
60,0.012,0.006,20.2598
61,0.0122,0.0061,20.5941
62,0.0124,0.0062,20.9281
63,0.0126,0.0063,21.2618
64,0.0128,0.0064,21.5952
65,0.013,0.0065,21.9283
66,0.0132,0.0066,22.2611
67,0.0134,0.0067,22.5936
68,0.0136,0.0068,22.9258
69,0.0138,0.0069,23.2577
70,0.014,0.007,23.5892
71,0.0142,0.0071,23.9204
72,0.0144,0.0072,24.2512
73,0.0146,0.0073,24.5817
74,0.0148,0.0074,24.9118
75,0.015,0.0075,25.2416
76,0.0152,0.0076,25.571
77,0.0154,0.0077,25.9
78,0.0156,0.0078,26.2287
79,0.0158,0.0079,26.5569
80,0.016,0.008,26.8848
81,0.0162,0.0081,27.2123
82,0.0164,0.0082,27.5393
83,0.0166,0.0083,27.866
84,0.0168,0.0084,28.1922
85,0.017,0.0085,28.518
86,0.0172,0.0086,28.8434
87,0.0174,0.0087,29.1684
88,0.0176,0.0088,29.4929
89,0.0178,0.0089,29.817
90,0.018,0.009,30.1406
91,0.0182,0.0091,30.4638
92,0.0184,0.0092,30.7866
93,0.0186,0.0093,31.1089
94,0.0188,0.0094,31.4307
95,0.019,0.0095,31.752
96,0.0192,0.0096,32.0729
97,0.0194,0.0097,32.3933
98,0.0196,0.0098,32.7132
99,0.0198,0.0099,33.0327
