step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.0001,0.268792
2,0.0004,0.0002,0.478145
3,0.0006,0.0003,0.681794
4,0.0008,0.0004,0.884118
5,0.001,0.0005,1.08613
6,0.0012,0.0006,1.28808
7,0.0014,0.0007,1.49001
8,0.0016,0.0008,1.69193
9,0.0018,0.0009,1.89385
10,0.002,0.001,2.09578
11,0.0022,0.0011,2.2977
12,0.0024,0.0012,2.49962
13,0.0026,0.0013,2.70155
14,0.0028,0.0014,2.90347
15,0.003,0.0015,3.10539
16,0.0032,0.0016,3.30732
17,0.0034,0.0017,3.50924
18,0.0036,0.0018,3.71116
19,0.0038,0.0019,3.91309
20,0.004,0.002,4.11501
21,0.0042,0.0021,4.31693
22,0.0044,0.0022,4.51885
23,0.0046,0.0023,4.72078
24,0.0048,0.0024,4.9227
25,0.005,0.0025,5.12462
26,0.0052,0.0026,5.32655
27,0.0054,0.0027,5.52847
28,0.0056,0.0028,5.73039
29,0.0058,0.0029,5.93232
30,0.006,0.003,6.13424
31,0.0062,0.0031,6.33616
32,0.0064,0.0032,6.53809
33,0.0066,0.0033,6.74001
34,0.0068,0.0034,6.94193
35,0.007,0.0035,7.14385
36,0.0072,0.0036,7.34578
37,0.0074,0.0037,7.5477
38,0.0076,0.0038,7.74962
39,0.0078,0.0039,7.95155
40,0.008,0.004,8.15347
41,0.0082,0.0041,8.35539
42,0.0084,0.0042,8.55732
43,0.0086,0.0043,8.75924
44,0.0088,0.0044,8.96116
45,0.009,0.0045,9.16309
46,0.0092,0.0046,9.36501
47,0.0094,0.0047,9.56693
48,0.0096,0.0048,9.76885
49,0.0098,0.0049,9.97078
50,0.01,0.005,10.1727
51,0.0102,0.0051,10.3746
52,0.0104,0.0052,10.5765
53,0.0106,0.0053,10.7785
54,0.0108,0.0054,10.9804
55,0.011,0.0055,11.1823
56,0.0112,0.0056,11.3842
57,0.0114,0.0057,11.5862
58,0.0116,0.0058,11.7881
59,0.0118,0.0059,11.99
60,0.012,0.006,12.1919
61,0.0122,0.0061,12.3939
62,0.0124,0.0062,12.5958
63,0.0126,0.0063,12.7977
64,0.0128,0.0064,12.9996
65,0.013,0.0065,13.2015
66,0.0132,0.0066,13.4035
67,0.0134,0.0067,13.6054
68,0.0136,0.0068,13.8073
69,0.0138,0.0069,14.0092
70,0.014,0.007,14.2112
71,0.0142,0.0071,14.4131
72,0.0144,0.0072,14.615
73,0.0146,0.0073,14.8169
74,0.0148,0.0074,15.0189
75,0.015,0.0075,15.2208
76,0.0152,0.0076,15.4227
