step,time,strain_xx,stress_xx
194,0.0388,0.03,89.3527
195,0.039,0.03,89.2734
196,0.0392,0.03,89.1947
197,0.0394,0.03,89.1166
198,0.0396,0.03,89.039
199,0.0398,0.03,88.962
200,0.04,0.03,88.8856
201,0.0402,0.03,88.8097
202,0.0404,0.03,88.7343
203,0.0406,0.03,88.6595
204,0.0408,0.03,88.5852
205,0.041,0.03,88.5114
206,0.0412,0.03,88.4382
207,0.0414,0.03,88.3654
208,0.0416,0.03,88.2932
209,0.0418,0.03,88.2215
210,0.042,0.03,88.1503
211,0.0422,0.03,88.0796
212,0.0424,0.03,88.0093
213,0.0426,0.03,87.9396
214,0.0428,0.03,87.8703
215,0.043,0.03,87.8015
216,0.0432,0.03,87.7331
217,0.0434,0.03,87.6653
218,0.0436,0.03,87.5979
219,0.0438,0.03,87.5309
220,0.044,0.03,87.4644
221,0.0442,0.03,87.3983
222,0.0444,0.03,87.3327
223,0.0446,0.03,87.2675
224,0.0448,0.03,87.2028
225,0.045,0.03,87.1385
226,0.0452,0.03,87.0746
227,0.0454,0.03,87.0111
228,0.0456,0.03,86.948
229,0.0458,0.03,86.8854
230,0.046,0.03,86.8232
231,0.0462,0.03,86.7613
232,0.0464,0.03,86.6999
233,0.0466,0.03,86.6389
234,0.0468,0.03,86.5782
235,0.047,0.03,86.518
236,0.0472,0.03,86.4581
237,0.0474,0.03,86.3986
238,0.0476,0.03,86.3395
239,0.0478,0.03,86.2808
240,0.048,0.03,86.2224
241,0.0482,0.03,86.1644
242,0.0484,0.03,86.1068
243,0.0486,0.03,86.0495
244,0.0488,0.03,85.9926
245,0.049,0.03,85.9361
246,0.0492,0.03,85.8799
247,0.0494,0.03,85.824
248,0.0496,0.03,85.7685
249,0.0498,0.03,85.7134
250,0.05,0.03,85.6585
251,0.0502,0.03,85.604
252,0.0504,0.03,85.5499
253,0.0506,0.03,85.496
254,0.0508,0.03,85.4425
255,0.051,0.03,85.3894
256,0.0512,0.03,85.3365
257,0.0514,0.03,85.284
258,0.0516,0.03,85.2317
259,0.0518,0.03,85.1798
260,0.052,0.03,85.1282
261,0.0522,0.03,85.0769
262,0.0524,0.03,85.0259
263,0.0526,0.03,84.9752
264,0.0528,0.03,84.9249
265,0.053,0.03,84.8748
266,0.0532,0.03,84.825
267,0.0534,0.03,84.7755
268,0.0536,0.03,84.7262
269,0.0538,0.03,84.6773
270,0.054,0.03,84.6287
271,0.0542,0.03,84.5803
272,0.0544,0.03,84.5322
273,0.0546,0.03,84.4844
274,0.0548,0.03,84.4368
275,0.055,0.03,84.3896
