step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,73130.7,0.0122923
2,0.0003,146170,0.0245691
3,0.00045,219118,0.0368307
4,0.0006,291976,0.0490772
5,0.00075,364745,0.0613085
6,0.0009,437424,0.0735249
7,0.00105,510015,0.0857264
8,0.0012,582518,0.0979132
9,0.00135,654934,0.110085
10,0.0015,727263,0.122243
11,0.00165,799506,0.134386
12,0.0018,871664,0.146515
13,0.00195,943736,0.158629
14,0.0021,1.01572e+06,0.170729
15,0.00225,1.08763e+06,0.182815
16,0.0024,1.15945e+06,0.194887
17,0.00255,1.23119e+06,0.206946
18,0.0027,1.30284e+06,0.21899
19,0.00285,1.37442e+06,0.231021
20,0.003,1.44591e+06,0.243038
21,0.00315,1.51733e+06,0.255041
22,0.0033,1.58866e+06,0.267031
23,0.00345,1.65991e+06,0.279008
24,0.0036,1.73109e+06,0.290972
25,0.00375,1.80218e+06,0.302922
26,0.0039,1.8732e+06,0.314859
27,0.00405,1.94414e+06,0.326783
28,0.0042,2.01501e+06,0.338695
29,0.00435,2.0858e+06,0.350593
30,0.0045,2.15651e+06,0.362479
31,0.00465,2.22715e+06,0.374352
32,0.0048,2.29771e+06,0.386213
33,0.00495,2.3682e+06,0.398061
34,0.0051,2.43861e+06,0.409896
35,0.00525,2.50895e+06,0.42172
36,0.0054,2.57922e+06,0.433531
37,0.00555,2.64942e+06,0.44533
38,0.0057,2.71954e+06,0.457117
39,0.00585,2.78959e+06,0.468892
40,0.006,2.85958e+06,0.480655
41,0.00615,2.92949e+06,0.492406
42,0.0063,2.99933e+06,0.504145
43,0.00645,3.0691e+06,0.515873
44,0.0066,3.13881e+06,0.527589
45,0.00675,3.20844e+06,0.539294
46,0.0069,3.27801e+06,0.550987
47,0.00705,3.34751e+06,0.562669
48,0.0072,3.41694e+06,0.57434
49,0.00735,3.4863e+06,0.585999
50,0.0075,3.5556e+06,0.597647
51,0.00765,3.62484e+06,0.609285
52,0.0078,3.69401e+06,0.620911
53,0.00795,3.76311e+06,0.632526
54,0.0081,3.83215e+06,0.644131
55,0.00825,3.90112e+06,0.655724
56,0.0084,3.97003e+06,0.667307
57,0.00855,4.03888e+06,0.67888
58,0.0087,4.10767e+06,0.690442
59,0.00885,4.17639e+06,0.701993
60,0.009,4.24505e+06,0.713534
61,0.00915,4.31365e+06,0.725065
62,0.0093,4.38219e+06,0.736585
63,0.00945,4.45067e+06,0.748095
64,0.0096,4.51909e+06,0.759595
65,0.00975,4.58744e+06,0.771085
66,0.0099,4.65574e+06,0.782565
67,0.01005,4.72398e+06,0.794035
68,0.0102,4.79216e+06,0.805495
69,0.01035,4.86028e+06,0.816946
70,0.0105,4.92835e+06,0.828386
71,0.01065,4.99635e+06,0.839817
72,0.0108,5.0643e+06,0.851239
73,0.01095,5.1322e+06,0.862651
74,0.0111,5.20003e+06,0.874053
75,0.01125,5.26781e+06,0.885446
76,0.0114,5.33554e+06,0.89683
77,0.01155,5.40321e+06,0.908204
78,0.0117,5.47082e+06,0.919569
79,0.01185,5.53838e+06,0.930925
80,0.012,5.60589e+06,0.942272
81,0.01215,5.67334e+06,0.95361
82,0.0123,5.74074e+06,0.964939
83,0.01245,5.80809e+06,0.976259
84,0.0126,5.87538e+06,0.98757
85,0.01275,5.94262e+06,0.998872
86,0.0129,6.00981e+06,1.01017
87,0.01305,6.07695e+06,1.02145
88,0.0132,6.14404e+06,1.03273
89,0.01335,6.21107e+06,1.04399
90,0.0135,6.27806e+06,1.05525
91,0.01365,6.34499e+06,1.0665
92,0.0138,6.41188e+06,1.07775
93,0.01395,6.47871e+06,1.08898
94,0.0141,6.5455e+06,1.10021
95,0.01425,6.61223e+06,1.11142
96,0.0144,6.67892e+06,1.12263
97,0.01455,6.74556e+06,1.13383
98,0.0147,6.81215e+06,1.14503
99,0.01485,6.8787e+06,1.15621
100,0.015,6.9452e+06,1.16739
101,0.015,6.93851e+06,1.16627
102,0.015,6.93188e+06,1.16515
103,0.015,6.92529e+06,1.16404
104,0.015,6.91874e+06,1.16294
105,0.015,6.91224e+06,1.16185
106,0.015,6.90578e+06,1.16076
107,0.015,6.89936e+06,1.15969
108,0.015,6.89299e+06,1.15862
109,0.015,6.88666e+06,1.15755
110,0.015,6.88037e+06,1.15649
111,0.015,6.87412e+06,1.15544
112,0.015,6.86792e+06,1.1544
113,0.015,6.86176e+06,1.15337
114,0.015,6.85564e+06,1.15234
115,0.015,6.84956e+06,1.15132
116,0.015,6.84352e+06,1.1503
117,0.015,6.83752e+06,1.14929
118,0.015,6.83156e+06,1.14829
119,0.015,6.82564e+06,1.1473
120,0.015,6.81977e+06,1.14631
121,0.015,6.81393e+06,1.14533
122,0.015,6.80813e+06,1.14435
123,0.015,6.80237e+06,1.14338
124,0.015,6.79664e+06,1.14242
125,0.015,6.79096e+06,1.14147
126,0.015,6.78531e+06,1.14052
127,0.015,6.7797e+06,1.13957
128,0.015,6.77413e+06,1.13864
129,0.015,6.7686e+06,1.13771
130,0.015,6.76311e+06,1.13678
131,0.015,6.75765e+06,1.13587
132,0.015,6.75222e+06,1.13495
133,0.015,6.74684e+06,1.13405
134,0.015,6.74149e+06,1.13315
135,0.015,6.73617e+06,1.13226
136,0.015,6.7309e+06,1.13137
137,0.015,6.72565e+06,1.13049
138,0.015,6.72044e+06,1.12961
139,0.015,6.71527e+06,1.12874
140,0.015,6.71013e+06,1.12788
141,0.015,6.70503e+06,1.12702
142,0.015,6.69996e+06,1.12617
143,0.015,6.69493e+06,1.12532
144,0.015,6.68992e+06,1.12448
145,0.015,6.68496e+06,1.12365
146,0.015,6.68002e+06,1.12282
147,0.015,6.67512e+06,1.12199
148,0.015,6.67025e+06,1.12118
149,0.015,6.66541e+06,1.12036
150,0.015,6.66061e+06,1.11956
151,0.015,6.65584e+06,1.11875
152,0.015,6.6511e+06,1.11796
153,0.015,6.64639e+06,1.11717
154,0.015,6.64172e+06,1.11638
155,0.015,6.63707e+06,1.1156
156,0.015,6.63246e+06,1.11482
157,0.015,6.62787e+06,1.11405
158,0.015,6.62332e+06,1.11329
159,0.015,6.6188e+06,1.11253
160,0.015,6.61431e+06,1.11177
161,0.015,6.60985e+06,1.11102
162,0.015,6.60542e+06,1.11028
163,0.015,6.60102e+06,1.10954
164,0.015,6.59665e+06,1.1088
165,0.015,6.5923e+06,1.10807
166,0.015,6.58799e+06,1.10735
167,0.015,6.58371e+06,1.10663
168,0.015,6.57945e+06,1.10591
169,0.015,6.57522e+06,1.1052
170,0.015,6.57102e+06,1.1045
171,0.015,6.56685e+06,1.1038
172,0.015,6.56271e+06,1.1031
173,0.015,6.5586e+06,1.10241
174,0.015,6.55451e+06,1.10172
175,0.015,6.55045e+06,1.10104
176,0.015,6.54642e+06,1.10036
177,0.015,6.54241e+06,1.09969
