step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,73153.1,0.012296
2,0.0003,146259,0.0245841
3,0.00045,219318,0.0368643
4,0.0006,292330,0.0491367
5,0.00075,365296,0.0614012
6,0.0009,438215,0.0736579
7,0.00105,511088,0.0859068
8,0.0012,583915,0.098148
9,0.00135,656696,0.110381
10,0.0015,729431,0.122607
11,0.00165,802121,0.134825
12,0.0018,874765,0.147036
13,0.00195,947363,0.159239
14,0.0021,1.01992e+06,0.171434
15,0.00225,1.09243e+06,0.183621
16,0.0024,1.16489e+06,0.195802
17,0.00255,1.23731e+06,0.207974
18,0.0027,1.30968e+06,0.220139
19,0.00285,1.38201e+06,0.232297
20,0.003,1.4543e+06,0.244447
21,0.00315,1.52654e+06,0.25659
22,0.0033,1.59874e+06,0.268725
23,0.00345,1.67089e+06,0.280853
24,0.0036,1.743e+06,0.292974
25,0.00375,1.81507e+06,0.305088
26,0.0039,1.88709e+06,0.317194
27,0.00405,1.95907e+06,0.329293
28,0.0042,2.03101e+06,0.341384
29,0.00435,2.1029e+06,0.353469
30,0.0045,2.17475e+06,0.365546
31,0.00465,2.24656e+06,0.377616
32,0.0048,2.31833e+06,0.389679
33,0.00495,2.39005e+06,0.401735
34,0.0051,2.46174e+06,0.413783
35,0.00525,2.53338e+06,0.425825
36,0.0054,2.60497e+06,0.43786
37,0.00555,2.67653e+06,0.449887
38,0.0057,2.74805e+06,0.461908
39,0.00585,2.81952e+06,0.473922
40,0.006,2.89095e+06,0.485929
41,0.00615,2.96234e+06,0.497928
42,0.0063,3.03369e+06,0.509921
43,0.00645,3.105e+06,0.521907
44,0.0066,3.17627e+06,0.533887
45,0.00675,3.2475e+06,0.545859
46,0.0069,3.31868e+06,0.557825
47,0.00705,3.38983e+06,0.569783
48,0.0072,3.46094e+06,0.581735
49,0.00735,3.532e+06,0.593681
50,0.0075,3.60303e+06,0.605619
51,0.00765,3.67402e+06,0.617551
52,0.0078,3.74497e+06,0.629477
53,0.00795,3.81587e+06,0.641395
54,0.0081,3.88674e+06,0.653307
55,0.00825,3.95757e+06,0.665213
56,0.0084,4.02836e+06,0.677112
57,0.00855,4.09911e+06,0.689004
58,0.0087,4.16983e+06,0.70089
59,0.00885,4.2405e+06,0.712769
60,0.009,4.31114e+06,0.724642
61,0.00915,4.38173e+06,0.736508
62,0.0093,4.45229e+06,0.748368
63,0.00945,4.52281e+06,0.760222
64,0.0096,4.5933e+06,0.772069
65,0.00975,4.66374e+06,0.78391
66,0.0099,4.73415e+06,0.795744
67,0.01005,4.80452e+06,0.807572
68,0.0102,4.87485e+06,0.819394
69,0.01035,4.94514e+06,0.83121
70,0.0105,5.0154e+06,0.843019
71,0.01065,5.08562e+06,0.854822
72,0.0108,5.1558e+06,0.866619
73,0.01095,5.22595e+06,0.878409
74,0.0111,5.29606e+06,0.890194
75,0.01125,5.36613e+06,0.901972
76,0.0114,5.43617e+06,0.913744
77,0.01155,5.50617e+06,0.92551
78,0.0117,5.57613e+06,0.93727
79,0.01185,5.64606e+06,0.949024
80,0.012,5.71595e+06,0.960772
81,0.01215,5.78581e+06,0.972514
82,0.0123,5.85563e+06,0.98425
83,0.01245,5.92541e+06,0.99598
84,0.0126,5.99516e+06,1.0077
85,0.01275,6.06488e+06,1.01942
86,0.0129,6.13456e+06,1.03113
87,0.01305,6.2042e+06,1.04284
88,0.0132,6.27381e+06,1.05454
89,0.01335,6.34338e+06,1.06623
90,0.0135,6.41292e+06,1.07792
91,0.01365,6.48243e+06,1.08961
92,0.0138,6.5519e+06,1.10128
93,0.01395,6.62133e+06,1.11295
94,0.0141,6.69073e+06,1.12462
95,0.01425,6.7601e+06,1.13628
96,0.0144,6.82943e+06,1.14793
97,0.01455,6.89873e+06,1.15958
98,0.0147,6.968e+06,1.17122
99,0.01485,7.03723e+06,1.18286
100,0.015,7.10643e+06,1.19449
101,0.015,7.10244e+06,1.19382
102,0.015,7.09846e+06,1.19315
103,0.015,7.0945e+06,1.19249
104,0.015,7.09056e+06,1.19182
105,0.015,7.08662e+06,1.19116
106,0.015,7.0827e+06,1.1905
107,0.015,7.0788e+06,1.18985
108,0.015,7.0749e+06,1.18919
109,0.015,7.07102e+06,1.18854
110,0.015,7.06716e+06,1.18789
111,0.015,7.0633e+06,1.18724
112,0.015,7.05946e+06,1.1866
113,0.015,7.05564e+06,1.18595
114,0.015,7.05182e+06,1.18531
115,0.015,7.04802e+06,1.18467
116,0.015,7.04424e+06,1.18404
117,0.015,7.04046e+06,1.1834
118,0.015,7.0367e+06,1.18277
119,0.015,7.03295e+06,1.18214
120,0.015,7.02922e+06,1.18151
121,0.015,7.0255e+06,1.18089
122,0.015,7.02179e+06,1.18026
123,0.015,7.01809e+06,1.17964
124,0.015,7.01441e+06,1.17902
125,0.015,7.01073e+06,1.17841
126,0.015,7.00708e+06,1.17779
127,0.015,7.00343e+06,1.17718
128,0.015,6.9998e+06,1.17657
129,0.015,6.99618e+06,1.17596
130,0.015,6.99257e+06,1.17535
131,0.015,6.98897e+06,1.17475
132,0.015,6.98539e+06,1.17415
133,0.015,6.98182e+06,1.17355
134,0.015,6.97826e+06,1.17295
135,0.015,6.97471e+06,1.17235
136,0.015,6.97118e+06,1.17176
137,0.015,6.96765e+06,1.17117
138,0.015,6.96414e+06,1.17058
139,0.015,6.96065e+06,1.16999
140,0.015,6.95716e+06,1.1694
141,0.015,6.95369e+06,1.16882
142,0.015,6.95022e+06,1.16824
143,0.015,6.94677e+06,1.16766
144,0.015,6.94334e+06,1.16708
145,0.015,6.93991e+06,1.1665
146,0.015,6.9365e+06,1.16593
147,0.015,6.93309e+06,1.16536
148,0.015,6.9297e+06,1.16479
149,0.015,6.92632e+06,1.16422
150,0.015,6.92296e+06,1.16365
151,0.015,6.9196e+06,1.16309
152,0.015,6.91625e+06,1.16253
153,0.015,6.91292e+06,1.16197
154,0.015,6.9096e+06,1.16141
155,0.015,6.90629e+06,1.16085
156,0.015,6.90299e+06,1.1603
157,0.015,6.8997e+06,1.15974
158,0.015,6.89643e+06,1.15919
159,0.015,6.89316e+06,1.15864
160,0.015,6.88991e+06,1.1581
161,0.015,6.88667e+06,1.15755
162,0.015,6.88344e+06,1.15701
163,0.015,6.88022e+06,1.15647
164,0.015,6.87701e+06,1.15593
165,0.015,6.87381e+06,1.15539
166,0.015,6.87063e+06,1.15486
167,0.015,6.86745e+06,1.15432
168,0.015,6.86429e+06,1.15379
169,0.015,6.86113e+06,1.15326
170,0.015,6.85799e+06,1.15273
171,0.015,6.85486e+06,1.15221
172,0.015,6.85174e+06,1.15168
173,0.015,6.84862e+06,1.15116
174,0.015,6.84552e+06,1.15064
175,0.015,6.84244e+06,1.15012
176,0.015,6.83936e+06,1.1496
177,0.015,6.83629e+06,1.14908
178,0.015,6.83323e+06,1.14857
179,0.015,6.83019e+06,1.14806
180,0.015,6.82715e+06,1.14755
181,0.015,6.82412e+06,1.14704
182,0.015,6.82111e+06,1.14653
183,0.015,6.8181e+06,1.14603
184,0.015,6.81511e+06,1.14552
185,0.015,6.81212e+06,1.14502
186,0.015,6.80915e+06,1.14452
187,0.015,6.80619e+06,1.14403
188,0.015,6.80323e+06,1.14353
189,0.015,6.80029e+06,1.14303
190,0.015,6.79736e+06,1.14254
191,0.015,6.79443e+06,1.14205
192,0.015,6.79152e+06,1.14156
193,0.015,6.78862e+06,1.14107
194,0.015,6.78572e+06,1.14059
195,0.015,6.78284e+06,1.1401
196,0.015,6.77997e+06,1.13962
197,0.015,6.77711e+06,1.13914
198,0.015,6.77425e+06,1.13866
199,0.015,6.77141e+06,1.13818
200,0.015,6.76857e+06,1.1377
201,0.015,6.76575e+06,1.13723
202,0.015,6.76294e+06,1.13676
203,0.015,6.76013e+06,1.13628
204,0.015,6.75734e+06,1.13581
205,0.015,6.75455e+06,1.13535
206,0.015,6.75178e+06,1.13488
207,0.015,6.74901e+06,1.13441
208,0.015,6.74625e+06,1.13395
209,0.015,6.74351e+06,1.13349
210,0.015,6.74077e+06,1.13303
211,0.015,6.73804e+06,1.13257
212,0.015,6.73532e+06,1.13211
213,0.015,6.73261e+06,1.13166
214,0.015,6.72991e+06,1.1312
215,0.015,6.72722e+06,1.13075
216,0.015,6.72454e+06,1.1303
217,0.015,6.72187e+06,1.12985
218,0.015,6.71921e+06,1.12941
219,0.015,6.71655e+06,1.12896
220,0.015,6.71391e+06,1.12851
221,0.015,6.71127e+06,1.12807
222,0.015,6.70865e+06,1.12763
223,0.015,6.70603e+06,1.12719
224,0.015,6.70342e+06,1.12675
225,0.015,6.70082e+06,1.12631
226,0.015,6.69823e+06,1.12588
227,0.015,6.69565e+06,1.12545
228,0.015,6.69308e+06,1.12501
229,0.015,6.69051e+06,1.12458
230,0.015,6.68796e+06,1.12415
231,0.015,6.68541e+06,1.12372
232,0.015,6.68288e+06,1.1233
233,0.015,6.68035e+06,1.12287
234,0.015,6.67783e+06,1.12245
235,0.015,6.67532e+06,1.12203
236,0.015,6.67282e+06,1.12161
237,0.015,6.67032e+06,1.12119
238,0.015,6.66784e+06,1.12077
239,0.015,6.66536e+06,1.12035
240,0.015,6.66289e+06,1.11994
241,0.015,6.66043e+06,1.11953
242,0.015,6.65798e+06,1.11911
243,0.015,6.65554e+06,1.1187
244,0.015,6.6531e+06,1.11829
245,0.015,6.65068e+06,1.11789
246,0.015,6.64826e+06,1.11748
247,0.015,6.64585e+06,1.11707
248,0.015,6.64345e+06,1.11667
249,0.015,6.64106e+06,1.11627
250,0.015,6.63867e+06,1.11587
251,0.015,6.6363e+06,1.11547
252,0.015,6.63393e+06,1.11507
253,0.015,6.63157e+06,1.11467
254,0.015,6.62922e+06,1.11428
255,0.015,6.62687e+06,1.11389
256,0.015,6.62454e+06,1.11349
257,0.015,6.62221e+06,1.1131
258,0.015,6.61989e+06,1.11271
259,0.015,6.61758e+06,1.11232
260,0.015,6.61528e+06,1.11194
261,0.015,6.61298e+06,1.11155
262,0.015,6.61069e+06,1.11117
263,0.015,6.60841e+06,1.11078
264,0.015,6.60614e+06,1.1104
265,0.015,6.60388e+06,1.11002
266,0.015,6.60162e+06,1.10964
