step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,193226,0.0324787
2,0.0003,379469,0.0637834
3,0.00045,560563,0.0942229
4,0.0006,737693,0.123996
5,0.00075,911634,0.153233
6,0.0009,1.08291e+06,0.182022
7,0.00105,1.25189e+06,0.210425
8,0.0012,1.41883e+06,0.238485
9,0.00135,1.58393e+06,0.266237
10,0.0015,1.74735e+06,0.293705
11,0.00165,1.90922e+06,0.320913
12,0.0018,2.06963e+06,0.347876
13,0.00195,2.22868e+06,0.374611
14,0.0021,2.38646e+06,0.40113
15,0.00225,2.54302e+06,0.427446
16,0.0024,2.69843e+06,0.453569
17,0.00255,2.85276e+06,0.479508
18,0.0027,3.00604e+06,0.505274
19,0.00285,3.15834e+06,0.530873
20,0.003,3.30969e+06,0.556313
21,0.00315,3.46014e+06,0.581602
22,0.0033,3.60973e+06,0.606745
23,0.00345,3.75848e+06,0.631748
24,0.0036,3.90643e+06,0.656616
25,0.00375,4.05362e+06,0.681356
26,0.0039,4.20006e+06,0.705972
27,0.00405,4.34579e+06,0.730467
28,0.0042,4.49084e+06,0.754847
29,0.00435,4.63522e+06,0.779115
30,0.0045,4.77895e+06,0.803275
31,0.00465,4.92207e+06,0.827331
32,0.0048,5.06458e+06,0.851285
33,0.00495,5.2065e+06,0.875141
34,0.0051,5.34787e+06,0.898902
35,0.00525,5.48867e+06,0.92257
36,0.0054,5.62895e+06,0.946148
37,0.00555,5.76871e+06,0.969639
38,0.0057,5.90795e+06,0.993045
39,0.00585,6.04671e+06,1.01637
40,0.006,6.18499e+06,1.03961
41,0.00615,6.3228e+06,1.06277
42,0.0063,6.46015e+06,1.08586
43,0.00645,6.59707e+06,1.10887
44,0.0066,6.73354e+06,1.13181
45,0.00675,6.8696e+06,1.15468
46,0.0069,7.00524e+06,1.17748
47,0.00705,7.14047e+06,1.20021
48,0.0072,7.27531e+06,1.22288
49,0.00735,7.40977e+06,1.24548
50,0.0075,7.54384e+06,1.26801
51,0.00765,7.67755e+06,1.29049
52,0.0078,7.81089e+06,1.3129
53,0.00795,7.94388e+06,1.33526
54,0.0081,8.07653e+06,1.35755
55,0.00825,8.20883e+06,1.37979
56,0.0084,8.3408e+06,1.40197
57,0.00855,8.47244e+06,1.4241
58,0.0087,8.60376e+06,1.44617
59,0.00885,8.73477e+06,1.46819
60,0.009,8.86546e+06,1.49016
61,0.00915,8.99586e+06,1.51208
62,0.0093,9.12596e+06,1.53395
63,0.00945,9.25576e+06,1.55576
64,0.0096,9.38528e+06,1.57753
65,0.00975,9.51451e+06,1.59926
66,0.0099,9.64347e+06,1.62093
67,0.01005,9.77215e+06,1.64256
68,0.0102,9.90057e+06,1.66415
69,0.01035,1.00287e+07,1.68569
70,0.0105,1.01566e+07,1.70719
71,0.01065,1.02843e+07,1.72864
72,0.0108,1.04116e+07,1.75005
73,0.01095,1.05388e+07,1.77142
74,0.0111,1.06657e+07,1.79275
75,0.01125,1.07923e+07,1.81404
76,0.0114,1.09188e+07,1.83529
77,0.01155,1.1045e+07,1.8565
78,0.0117,1.11709e+07,1.87768
79,0.01185,1.12967e+07,1.89881
80,0.012,1.14222e+07,1.91991
81,0.01215,1.15475e+07,1.94097
82,0.0123,1.16725e+07,1.96199
83,0.01245,1.17974e+07,1.98298
