step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,73141.7,0.0122941
2,0.0003,146214,0.0245765
3,0.00045,219217,0.0368473
4,0.0006,292151,0.0491065
5,0.00075,365016,0.0613541
6,0.0009,437813,0.0735903
7,0.00105,510543,0.0858151
8,0.0012,583205,0.0980286
9,0.00135,655800,0.110231
10,0.0015,728327,0.122422
11,0.00165,800789,0.134601
12,0.0018,873184,0.14677
13,0.00195,945514,0.158928
14,0.0021,1.01778e+06,0.171074
15,0.00225,1.08998e+06,0.18321
16,0.0024,1.16211e+06,0.195335
17,0.00255,1.23418e+06,0.207449
18,0.0027,1.30619e+06,0.219552
19,0.00285,1.37813e+06,0.231644
20,0.003,1.45001e+06,0.243726
21,0.00315,1.52182e+06,0.255797
22,0.0033,1.59357e+06,0.267857
23,0.00345,1.66526e+06,0.279907
24,0.0036,1.73689e+06,0.291947
25,0.00375,1.80846e+06,0.303976
26,0.0039,1.87996e+06,0.315995
27,0.00405,1.9514e+06,0.328004
28,0.0042,2.02278e+06,0.340002
29,0.00435,2.09411e+06,0.35199
30,0.0045,2.16537e+06,0.363968
31,0.00465,2.23657e+06,0.375936
32,0.0048,2.30771e+06,0.387894
33,0.00495,2.37879e+06,0.399842
34,0.0051,2.44981e+06,0.41178
35,0.00525,2.52078e+06,0.423708
36,0.0054,2.59168e+06,0.435626
37,0.00555,2.66253e+06,0.447534
38,0.0057,2.73332e+06,0.459433
39,0.00585,2.80405e+06,0.471322
40,0.006,2.87473e+06,0.483201
41,0.00615,2.94534e+06,0.495071
42,0.0063,3.0159e+06,0.506931
43,0.00645,3.08641e+06,0.518782
44,0.0066,3.15686e+06,0.530623
45,0.00675,3.22725e+06,0.542455
46,0.0069,3.29758e+06,0.554278
47,0.00705,3.36787e+06,0.566091
48,0.0072,3.43809e+06,0.577895
49,0.00735,3.50826e+06,0.58969
50,0.0075,3.57838e+06,0.601476
51,0.00765,3.64844e+06,0.613252
52,0.0078,3.71845e+06,0.62502
53,0.00795,3.78841e+06,0.636779
54,0.0081,3.85831e+06,0.648528
55,0.00825,3.92816e+06,0.660269
56,0.0084,3.99795e+06,0.672
57,0.00855,4.0677e+06,0.683723
58,0.0087,4.13739e+06,0.695437
59,0.00885,4.20703e+06,0.707143
60,0.009,4.27662e+06,0.71884
61,0.00915,4.34615e+06,0.730528
62,0.0093,4.41564e+06,0.742207
63,0.00945,4.48507e+06,0.753878
64,0.0096,4.55445e+06,0.76554
65,0.00975,4.62379e+06,0.777194
66,0.0099,4.69307e+06,0.78884
67,0.01005,4.7623e+06,0.800477
68,0.0102,4.83149e+06,0.812105
69,0.01035,4.90062e+06,0.823726
70,0.0105,4.9697e+06,0.835338
71,0.01065,5.03874e+06,0.846942
