step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,64776.2,0.0126615
2,0.0003,129419,0.0252969
3,0.00045,193930,0.0379065
4,0.0006,258309,0.0504905
5,0.00075,322560,0.0630492
6,0.0009,386682,0.0755828
7,0.00105,450677,0.0880916
8,0.0012,514546,0.100576
9,0.00135,578291,0.113036
10,0.0015,641912,0.125471
11,0.00165,705411,0.137883
12,0.0018,768790,0.150272
13,0.00195,832048,0.162637
14,0.0021,895188,0.174978
15,0.00225,958211,0.187297
16,0.0024,1.02112e+06,0.199593
17,0.00255,1.08391e+06,0.211866
18,0.0027,1.14659e+06,0.224118
19,0.00285,1.20915e+06,0.236347
20,0.003,1.2716e+06,0.248554
21,0.00315,1.33395e+06,0.26074
22,0.0033,1.39618e+06,0.272904
23,0.00345,1.4583e+06,0.285047
24,0.0036,1.52032e+06,0.297169
25,0.00375,1.58223e+06,0.309271
26,0.0039,1.64403e+06,0.321351
27,0.00405,1.70573e+06,0.333412
28,0.0042,1.76733e+06,0.345452
29,0.00435,1.82883e+06,0.357472
30,0.0045,1.89022e+06,0.369472
31,0.00465,1.95151e+06,0.381453
32,0.0048,2.01271e+06,0.393415
33,0.00495,2.0738e+06,0.405357
34,0.0051,2.1348e+06,0.41728
35,0.00525,2.19571e+06,0.429184
36,0.0054,2.25651e+06,0.44107
37,0.00555,2.31722e+06,0.452937
38,0.0057,2.37784e+06,0.464785
39,0.00585,2.43837e+06,0.476616
40,0.006,2.4988e+06,0.488429
41,0.00615,2.55915e+06,0.500224
42,0.0063,2.6194e+06,0.512001
43,0.00645,2.67956e+06,0.523761
44,0.0066,2.73964e+06,0.535504
45,0.00675,2.79963e+06,0.54723
46,0.0069,2.85953e+06,0.558938
47,0.00705,2.91935e+06,0.57063
48,0.0072,2.97908e+06,0.582306
49,0.00735,3.03872e+06,0.593965
50,0.0075,3.09829e+06,0.605608
51,0.00765,3.15777e+06,0.617234
52,0.0078,3.21717e+06,0.628845
53,0.00795,3.27649e+06,0.64044
54,0.0081,3.33573e+06,0.652019
55,0.00825,3.39489e+06,0.663583
56,0.0084,3.45397e+06,0.675132
57,0.00855,3.51298e+06,0.686665
58,0.0087,3.57191e+06,0.698183
59,0.00885,3.63076e+06,0.709687
60,0.009,3.68953e+06,0.721175
61,0.00915,3.74824e+06,0.73265
62,0.0093,3.80686e+06,0.744109
63,0.00945,3.86542e+06,0.755555
64,0.0096,3.9239e+06,0.766986
65,0.00975,3.98231e+06,0.778403
66,0.0099,4.04065e+06,0.789806
67,0.01005,4.09892e+06,0.801196
68,0.0102,4.15712e+06,0.812572
69,0.01035,4.21525e+06,0.823934
70,0.0105,4.27331e+06,0.835283
71,0.01065,4.3313e+06,0.846619
72,0.0108,4.38923e+06,0.857942
73,0.01095,4.44709e+06,0.869252
74,0.0111,4.50489e+06,0.880549
75,0.01125,4.56262e+06,0.891833
76,0.0114,4.62028e+06,0.903105
77,0.01155,4.67789e+06,0.914364
78,0.0117,4.73543e+06,0.925611
79,0.01185,4.7929e+06,0.936846
80,0.012,4.85032e+06,0.948068
81,0.01215,4.90767e+06,0.959279
82,0.0123,4.96496e+06,0.970478
83,0.01245,5.0222e+06,0.981665
84,0.0126,5.07937e+06,0.99284
85,0.01275,5.13648e+06,1.004
86,0.0129,5.19354e+06,1.01516
87,0.01305,5.25054e+06,1.0263
88,0.0132,5.30748e+06,1.03743
89,0.01335,5.36436e+06,1.04855
90,0.0135,5.42119e+06,1.05965
91,0.01365,5.47796e+06,1.07075
92,0.0138,5.53468e+06,1.08184
93,0.01395,5.59134e+06,1.09291
94,0.0141,5.64795e+06,1.10398
95,0.01425,5.70451e+06,1.11503
96,0.0144,5.76101e+06,1.12608
97,0.01455,5.81746e+06,1.13711
98,0.0147,5.87386e+06,1.14814
99,0.01485,5.93021e+06,1.15915
100,0.015,5.98651e+06,1.17015
101,0.015,5.97798e+06,1.16849
102,0.015,5.96953e+06,1.16684
103,0.015,5.96117e+06,1.1652
104,0.015,5.95288e+06,1.16358
105,0.015,5.94468e+06,1.16198
106,0.015,5.93656e+06,1.16039
107,0.015,5.92852e+06,1.15882
108,0.015,5.92056e+06,1.15726
109,0.015,5.91268e+06,1.15572
110,0.015,5.90487e+06,1.1542
111,0.015,5.89714e+06,1.15269
112,0.015,5.88949e+06,1.15119
113,0.015,5.88191e+06,1.14971
114,0.015,5.8744e+06,1.14824
115,0.015,5.86697e+06,1.14679
116,0.015,5.85961e+06,1.14535
117,0.015,5.85233e+06,1.14393
118,0.015,5.84511e+06,1.14252
119,0.015,5.83797e+06,1.14112
120,0.015,5.83089e+06,1.13974
121,0.015,5.82389e+06,1.13837
122,0.015,5.81695e+06,1.13701
123,0.015,5.81008e+06,1.13567
124,0.015,5.80328e+06,1.13434
125,0.015,5.79655e+06,1.13302
126,0.015,5.78988e+06,1.13172
127,0.015,5.78327e+06,1.13043
128,0.015,5.77674e+06,1.12915
129,0.015,5.77026e+06,1.12789
130,0.015,5.76385e+06,1.12663
131,0.015,5.7575e+06,1.12539
