step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,72761.2,0.0122301
2,0.0003,145392,0.0244384
3,0.00045,217895,0.0366251
4,0.0006,290270,0.0487903
5,0.00075,362519,0.0609343
6,0.0009,434643,0.0730574
7,0.00105,506643,0.0851596
8,0.0012,578520,0.0972412
9,0.00135,650276,0.109302
10,0.0015,721912,0.121343
11,0.00165,793429,0.133364
12,0.0018,864828,0.145366
13,0.00195,936111,0.157347
14,0.0021,1.00728e+06,0.169309
15,0.00225,1.07833e+06,0.181252
16,0.0024,1.14927e+06,0.193176
17,0.00255,1.2201e+06,0.205081
18,0.0027,1.29081e+06,0.216968
19,0.00285,1.36142e+06,0.228836
20,0.003,1.43192e+06,0.240685
21,0.00315,1.50231e+06,0.252517
22,0.0033,1.57259e+06,0.26433
23,0.00345,1.64277e+06,0.276126
24,0.0036,1.71284e+06,0.287904
25,0.00375,1.78281e+06,0.299665
26,0.0039,1.85267e+06,0.311408
27,0.00405,1.92244e+06,0.323135
28,0.0042,1.9921e+06,0.334844
29,0.00435,2.06166e+06,0.346537
30,0.0045,2.13113e+06,0.358213
31,0.00465,2.2005e+06,0.369873
32,0.0048,2.26977e+06,0.381516
33,0.00495,2.33894e+06,0.393144
34,0.0051,2.40802e+06,0.404755
35,0.00525,2.47701e+06,0.416351
36,0.0054,2.5459e+06,0.427931
37,0.00555,2.6147e+06,0.439495
38,0.0057,2.68341e+06,0.451044
39,0.00585,2.75203e+06,0.462578
40,0.006,2.82056e+06,0.474097
41,0.00615,2.88901e+06,0.485602
42,0.0063,2.95736e+06,0.497091
43,0.00645,3.02563e+06,0.508566
44,0.0066,3.09381e+06,0.520026
45,0.00675,3.1619e+06,0.531472
46,0.0069,3.22992e+06,0.542904
47,0.00705,3.29784e+06,0.554322
48,0.0072,3.36569e+06,0.565725
49,0.00735,3.43345e+06,0.577116
50,0.0075,3.50114e+06,0.588492
51,0.00765,3.56874e+06,0.599855
52,0.0078,3.63626e+06,0.611205
