step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,67785.8,0.0113938
2,0.0003,135490,0.022774
3,0.00045,203114,0.0341407
4,0.0006,270659,0.045494
5,0.00075,338124,0.056834
6,0.0009,405512,0.0681608
7,0.00105,472822,0.0794747
8,0.0012,540055,0.0907757
9,0.00135,607213,0.102064
10,0.0015,674295,0.11334
11,0.00165,741303,0.124603
12,0.0018,808238,0.135853
13,0.00195,875099,0.147092
14,0.0021,941889,0.158318
15,0.00225,1.00861e+06,0.169533
16,0.0024,1.07525e+06,0.180735
17,0.00255,1.14183e+06,0.191926
18,0.0027,1.20834e+06,0.203105
19,0.00285,1.27478e+06,0.214272
20,0.003,1.34115e+06,0.225428
21,0.00315,1.40745e+06,0.236573
22,0.0033,1.47369e+06,0.247706
23,0.00345,1.53986e+06,0.258829
24,0.0036,1.60596e+06,0.26994
25,0.00375,1.672e+06,0.281041
26,0.0039,1.73798e+06,0.29213
27,0.00405,1.80389e+06,0.303209
28,0.0042,1.86974e+06,0.314278
29,0.00435,1.93553e+06,0.325336
30,0.0045,2.00126e+06,0.336383
31,0.00465,2.06692e+06,0.347421
32,0.0048,2.13253e+06,0.358448
33,0.00495,2.19807e+06,0.369465
34,0.0051,2.26355e+06,0.380472
35,0.00525,2.32898e+06,0.391469
36,0.0054,2.39435e+06,0.402457
37,0.00555,2.45966e+06,0.413435
38,0.0057,2.52491e+06,0.424403
39,0.00585,2.59011e+06,0.435362
40,0.006,2.65525e+06,0.446311
41,0.00615,2.72034e+06,0.457251
42,0.0063,2.78537e+06,0.468182
43,0.00645,2.85035e+06,0.479104
44,0.0066,2.91527e+06,0.490016
45,0.00675,2.98014e+06,0.50092
46,0.0069,3.04496e+06,0.511815
47,0.00705,3.10972e+06,0.522701
48,0.0072,3.17444e+06,0.533578
49,0.00735,3.2391e+06,0.544447
50,0.0075,3.30371e+06,0.555308
51,0.00765,3.36827e+06,0.566159
52,0.0078,3.43278e+06,0.577003
53,0.00795,3.49725e+06,0.587838
54,0.0081,3.56166e+06,0.598665
55,0.00825,3.62603e+06,0.609484
56,0.0084,3.69034e+06,0.620295
57,0.00855,3.75461e+06,0.631098
58,0.0087,3.81884e+06,0.641894
59,0.00885,3.88302e+06,0.652681
60,0.009,3.94715e+06,0.663461
61,0.00915,4.01123e+06,0.674233
62,0.0093,4.07528e+06,0.684997
63,0.00945,4.13927e+06,0.695754
64,0.0096,4.20322e+06,0.706503
65,0.00975,4.26713e+06,0.717246
66,0.0099,4.331e+06,0.727981
67,0.01005,4.39482e+06,0.738708
68,0.0102,4.4586e+06,0.749429
69,0.01035,4.52234e+06,0.760142
70,0.0105,4.58604e+06,0.770849
71,0.01065,4.64969e+06,0.781549
72,0.0108,4.71331e+06,0.792241
73,0.01095,4.77688e+06,0.802927
74,0.0111,4.84042e+06,0.813607
75,0.01125,4.90391e+06,0.824279
76,0.0114,4.96737e+06,0.834945
77,0.01155,5.03078e+06,0.845605
78,0.0117,5.09416e+06,0.856258
79,0.01185,5.1575e+06,0.866904
80,0.012,5.2208e+06,0.877544
81,0.01215,5.28407e+06,0.888178
82,0.0123,5.3473e+06,0.898806
83,0.01245,5.41049e+06,0.909428
84,0.0126,5.47365e+06,0.920043
85,0.01275,5.53676e+06,0.930653
86,0.0129,5.59985e+06,0.941257
87,0.01305,5.6629e+06,0.951854
88,0.0132,5.72591e+06,0.962446
89,0.01335,5.78889e+06,0.973032
90,0.0135,5.85184e+06,0.983612
91,0.01365,5.91475e+06,0.994187
92,0.0138,5.97763e+06,1.00476
93,0.01395,6.04047e+06,1.01532
94,0.0141,6.10328e+06,1.02588
95,0.01425,6.16606e+06,1.03643
96,0.0144,6.22881e+06,1.04698
97,0.01455,6.29152e+06,1.05752
98,0.0147,6.35421e+06,1.06805
99,0.01485,6.41686e+06,1.07858
100,0.015,6.47948e+06,1.08911
101,0.015,6.47429e+06,1.08824
102,0.015,6.46914e+06,1.08737
103,0.015,6.46405e+06,1.08652
104,0.015,6.45901e+06,1.08567
105,0.015,6.45401e+06,1.08483
106,0.015,6.44907e+06,1.084
107,0.015,6.44417e+06,1.08318
108,0.015,6.43932e+06,1.08236
109,0.015,6.43452e+06,1.08155
110,0.015,6.42977e+06,1.08075
111,0.015,6.42506e+06,1.07996
112,0.015,6.4204e+06,1.07918
113,0.015,6.41578e+06,1.0784
114,0.015,6.41121e+06,1.07764
115,0.015,6.40668e+06,1.07687
116,0.015,6.4022e+06,1.07612
117,0.015,6.39777e+06,1.07538
118,0.015,6.39337e+06,1.07464
119,0.015,6.38902e+06,1.07391
120,0.015,6.38471e+06,1.07318
121,0.015,6.38045e+06,1.07246
122,0.015,6.37622e+06,1.07175
123,0.015,6.37204e+06,1.07105
124,0.015,6.3679e+06,1.07035
125,0.015,6.3638e+06,1.06967
126,0.015,6.35973e+06,1.06898
127,0.015,6.35571e+06,1.06831
128,0.015,6.35173e+06,1.06764
129,0.015,6.34779e+06,1.06697
130,0.015,6.34388e+06,1.06632
131,0.015,6.34002e+06,1.06567
132,0.015,6.33619e+06,1.06503
133,0.015,6.3324e+06,1.06439
134,0.015,6.32864e+06,1.06376
135,0.015,6.32493e+06,1.06313
136,0.015,6.32125e+06,1.06251
137,0.015,6.3176e+06,1.0619
138,0.015,6.31399e+06,1.06129
139,0.015,6.31042e+06,1.06069
140,0.015,6.30688e+06,1.0601
141,0.015,6.30338e+06,1.05951
142,0.015,6.29991e+06,1.05893
143,0.015,6.29648e+06,1.05835
144,0.015,6.29307e+06,1.05778
145,0.015,6.28971e+06,1.05721
146,0.015,6.28637e+06,1.05665
147,0.015,6.28307e+06,1.0561
148,0.015,6.2798e+06,1.05555
149,0.015,6.27656e+06,1.055
