step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,73109.5,0.0122887
2,0.0003,146086,0.024555
3,0.00045,218930,0.036799
4,0.0006,291643,0.0490211
5,0.00075,364226,0.0612214
6,0.0009,436682,0.0734001
7,0.00105,509010,0.0855575
8,0.0012,581213,0.0976937
9,0.00135,653291,0.109809
10,0.0015,725245,0.121904
11,0.00165,797078,0.133978
12,0.0018,868790,0.146031
13,0.00195,940382,0.158065
14,0.0021,1.01186e+06,0.170079
15,0.00225,1.08321e+06,0.182073
16,0.0024,1.15445e+06,0.194047
17,0.00255,1.22558e+06,0.206002
18,0.0027,1.29659e+06,0.217938
19,0.00285,1.36748e+06,0.229855
20,0.003,1.43827e+06,0.241753
21,0.00315,1.50895e+06,0.253633
22,0.0033,1.57951e+06,0.265494
23,0.00345,1.64997e+06,0.277337
24,0.0036,1.72032e+06,0.289162
25,0.00375,1.79056e+06,0.300969
26,0.0039,1.8607e+06,0.312758
27,0.00405,1.93073e+06,0.32453
28,0.0042,2.00067e+06,0.336284
29,0.00435,2.07049e+06,0.348021
30,0.0045,2.14022e+06,0.359741
31,0.00465,2.20985e+06,0.371445
32,0.0048,2.27938e+06,0.383131
33,0.00495,2.3488e+06,0.394801
34,0.0051,2.41814e+06,0.406455
35,0.00525,2.48737e+06,0.418093
36,0.0054,2.55651e+06,0.429714
37,0.00555,2.62556e+06,0.44132
38,0.0057,2.69451e+06,0.452909
39,0.00585,2.76337e+06,0.464484
40,0.006,2.83214e+06,0.476043
41,0.00615,2.90081e+06,0.487586
42,0.0063,2.9694e+06,0.499115
43,0.00645,3.0379e+06,0.510628
44,0.0066,3.10631e+06,0.522127
45,0.00675,3.17463e+06,0.533611
46,0.0069,3.24286e+06,0.54508
47,0.00705,3.31101e+06,0.556535
48,0.0072,3.37908e+06,0.567976
49,0.00735,3.44706e+06,0.579402
50,0.0075,3.51496e+06,0.590815
51,0.00765,3.58277e+06,0.602214
52,0.0078,3.6505e+06,0.613599
53,0.00795,3.71816e+06,0.62497
54,0.0081,3.78573e+06,0.636329
55,0.00825,3.85322e+06,0.647673
56,0.0084,3.92064e+06,0.659005
57,0.00855,3.98798e+06,0.670324
58,0.0087,4.05524e+06,0.681629
59,0.00885,4.12242e+06,0.692922
60,0.009,4.18953e+06,0.704202
61,0.00915,4.25657e+06,0.71547
62,0.0093,4.32353e+06,0.726725
63,0.00945,4.39042e+06,0.737968
64,0.0096,4.45723e+06,0.749199
65,0.00975,4.52398e+06,0.760417
66,0.0099,4.59065e+06,0.771624
67,0.01005,4.65725e+06,0.782819
68,0.0102,4.72378e+06,0.794002
69,0.01035,4.79025e+06,0.805174
70,0.0105,4.85664e+06,0.816334
71,0.01065,4.92297e+06,0.827483
72,0.0108,4.98923e+06,0.83862
73,0.01095,5.05543e+06,0.849747
74,0.0111,5.12155e+06,0.860862
75,0.01125,5.18762e+06,0.871966
76,0.0114,5.25362e+06,0.88306
77,0.01155,5.31955e+06,0.894143
78,0.0117,5.38543e+06,0.905215
79,0.01185,5.45124e+06,0.916277
80,0.012,5.51698e+06,0.927328
81,0.01215,5.58267e+06,0.938369
82,0.0123,5.6483e+06,0.9494
83,0.01245,5.71386e+06,0.960421
84,0.0126,5.77937e+06,0.971431
85,0.01275,5.84482e+06,0.982432
86,0.0129,5.91021e+06,0.993423
87,0.01305,5.97554e+06,1.0044
88,0.0132,6.04081e+06,1.01538
89,0.01335,6.10603e+06,1.02634
90,0.0135,6.17119e+06,1.03729
91,0.01365,6.2363e+06,1.04823
92,0.0138,6.30135e+06,1.05917
93,0.01395,6.36634e+06,1.07009
94,0.0141,6.43129e+06,1.08101
95,0.01425,6.49618e+06,1.09192
96,0.0144,6.56101e+06,1.10281
97,0.01455,6.6258e+06,1.1137
98,0.0147,6.69053e+06,1.12458
99,0.01485,6.75521e+06,1.13546
100,0.015,6.81984e+06,1.14632
101,0.015,6.81131e+06,1.14489
102,0.015,6.80286e+06,1.14347
103,0.015,6.7945e+06,1.14206
104,0.015,6.78622e+06,1.14067
105,0.015,6.77802e+06,1.13929
106,0.015,6.7699e+06,1.13793
107,0.015,6.76186e+06,1.13657
108,0.015,6.75389e+06,1.13524
109,0.015,6.74601e+06,1.13391
110,0.015,6.7382e+06,1.1326
111,0.015,6.73047e+06,1.1313
112,0.015,6.72282e+06,1.13001
113,0.015,6.71524e+06,1.12874
114,0.015,6.70774e+06,1.12748
115,0.015,6.7003e+06,1.12623
116,0.015,6.69295e+06,1.12499
117,0.015,6.68566e+06,1.12377
118,0.015,6.67844e+06,1.12255
119,0.015,6.6713e+06,1.12135
120,0.015,6.66423e+06,1.12016
121,0.015,6.65722e+06,1.11899
122,0.015,6.65028e+06,1.11782
123,0.015,6.64342e+06,1.11667
124,0.015,6.63661e+06,1.11552
125,0.015,6.62988e+06,1.11439
126,0.015,6.62321e+06,1.11327
127,0.015,6.61661e+06,1.11216
128,0.015,6.61007e+06,1.11106
129,0.015,6.6036e+06,1.10997
130,0.015,6.59718e+06,1.10889
131,0.015,6.59084e+06,1.10783
132,0.015,6.58455e+06,1.10677
133,0.015,6.57833e+06,1.10572
134,0.015,6.57216e+06,1.10469
135,0.015,6.56606e+06,1.10366
136,0.015,6.56002e+06,1.10265
137,0.015,6.55403e+06,1.10164
138,0.015,6.54811e+06,1.10065
139,0.015,6.54224e+06,1.09966
140,0.015,6.53643e+06,1.09868
141,0.015,6.53068e+06,1.09772
142,0.015,6.52498e+06,1.09676
143,0.015,6.51934e+06,1.09581
144,0.015,6.51375e+06,1.09487
145,0.015,6.50822e+06,1.09394
146,0.015,6.50275e+06,1.09302
147,0.015,6.49732e+06,1.09211
148,0.015,6.49196e+06,1.09121
149,0.015,6.48664e+06,1.09031
150,0.015,6.48137e+06,1.08943
151,0.015,6.47616e+06,1.08855
152,0.015,6.471e+06,1.08768
153,0.015,6.46589e+06,1.08683
154,0.015,6.46082e+06,1.08597
155,0.015,6.45581e+06,1.08513
156,0.015,6.45085e+06,1.0843
157,0.015,6.44594e+06,1.08347
158,0.015,6.44107e+06,1.08265
159,0.015,6.43625e+06,1.08184
160,0.015,6.43148e+06,1.08104
161,0.015,6.42676e+06,1.08025
162,0.015,6.42208e+06,1.07946
163,0.015,6.41744e+06,1.07868
164,0.015,6.41286e+06,1.07791
165,0.015,6.40832e+06,1.07715
166,0.015,6.40382e+06,1.07639
167,0.015,6.39936e+06,1.07564
168,0.015,6.39496e+06,1.0749
169,0.015,6.39059e+06,1.07417
170,0.015,6.38626e+06,1.07344
171,0.015,6.38198e+06,1.07272
172,0.015,6.37774e+06,1.07201
173,0.015,6.37355e+06,1.0713
174,0.015,6.36939e+06,1.07061
175,0.015,6.36527e+06,1.06991
176,0.015,6.3612e+06,1.06923
177,0.015,6.35716e+06,1.06855
178,0.015,6.35317e+06,1.06788
179,0.015,6.34921e+06,1.06721
180,0.015,6.34529e+06,1.06655
181,0.015,6.34141e+06,1.0659
182,0.015,6.33757e+06,1.06526
183,0.015,6.33376e+06,1.06462
184,0.015,6.33e+06,1.06398
185,0.015,6.32627e+06,1.06336
186,0.015,6.32257e+06,1.06274
187,0.015,6.31892e+06,1.06212
188,0.015,6.31529e+06,1.06151
189,0.015,6.31171e+06,1.06091
190,0.015,6.30816e+06,1.06031
191,0.015,6.30464e+06,1.05972
192,0.015,6.30116e+06,1.05914
193,0.015,6.29771e+06,1.05856
194,0.015,6.2943e+06,1.05798
195,0.015,6.29092e+06,1.05742
196,0.015,6.28757e+06,1.05685
197,0.015,6.28426e+06,1.0563
198,0.015,6.28098e+06,1.05574
199,0.015,6.27773e+06,1.0552
200,0.015,6.27451e+06,1.05466
201,0.015,6.27132e+06,1.05412
202,0.015,6.26817e+06,1.05359
203,0.015,6.26504e+06,1.05307
204,0.015,6.26195e+06,1.05255
205,0.015,6.25889e+06,1.05203
206,0.015,6.25585e+06,1.05152
207,0.015,6.25285e+06,1.05102
208,0.015,6.24987e+06,1.05052
209,0.015,6.24693e+06,1.05002
210,0.015,6.24401e+06,1.04953
211,0.015,6.24113e+06,1.04905
212,0.015,6.23827e+06,1.04857
213,0.015,6.23544e+06,1.04809
214,0.015,6.23263e+06,1.04762
215,0.015,6.22986e+06,1.04715
216,0.015,6.22711e+06,1.04669
217,0.015,6.22439e+06,1.04623
218,0.015,6.22169e+06,1.04578
219,0.015,6.21902e+06,1.04533
220,0.015,6.21638e+06,1.04489
221,0.015,6.21376e+06,1.04445
222,0.015,6.21117e+06,1.04401
223,0.015,6.20861e+06,1.04358
224,0.015,6.20607e+06,1.04315
225,0.015,6.20355e+06,1.04273
226,0.015,6.20106e+06,1.04231
227,0.015,6.19859e+06,1.0419
