step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,73148.5,0.0122952
2,0.0003,146241,0.024581
3,0.00045,219277,0.0368574
4,0.0006,292258,0.0491245
5,0.00075,365183,0.0613822
6,0.0009,438053,0.0736306
7,0.00105,510868,0.0858698
8,0.0012,583628,0.0980997
9,0.00135,656334,0.110321
10,0.0015,728985,0.122532
11,0.00165,801582,0.134735
12,0.0018,874125,0.146928
13,0.00195,946615,0.159113
14,0.0021,1.01905e+06,0.171288
15,0.00225,1.09143e+06,0.183455
16,0.0024,1.16376e+06,0.195612
17,0.00255,1.23604e+06,0.207761
18,0.0027,1.30826e+06,0.219901
19,0.00285,1.38044e+06,0.232032
20,0.003,1.45256e+06,0.244154
21,0.00315,1.52462e+06,0.256268
22,0.0033,1.59664e+06,0.268373
23,0.00345,1.66861e+06,0.280469
24,0.0036,1.74052e+06,0.292557
25,0.00375,1.81238e+06,0.304636
26,0.0039,1.88419e+06,0.316706
27,0.00405,1.95595e+06,0.328768
28,0.0042,2.02766e+06,0.340822
29,0.00435,2.09932e+06,0.352867
30,0.0045,2.17093e+06,0.364904
31,0.00465,2.24249e+06,0.376932
32,0.0048,2.314e+06,0.388952
33,0.00495,2.38546e+06,0.400963
34,0.0051,2.45688e+06,0.412967
35,0.00525,2.52824e+06,0.424962
36,0.0054,2.59955e+06,0.436949
37,0.00555,2.67082e+06,0.448927
38,0.0057,2.74204e+06,0.460898
39,0.00585,2.8132e+06,0.47286
40,0.006,2.88433e+06,0.484815
41,0.00615,2.9554e+06,0.496761
42,0.0063,3.02642e+06,0.5087
43,0.00645,3.0974e+06,0.52063
44,0.0066,3.16833e+06,0.532552
45,0.00675,3.23921e+06,0.544467
46,0.0069,3.31005e+06,0.556374
47,0.00705,3.38084e+06,0.568272
48,0.0072,3.45158e+06,0.580163
49,0.00735,3.52228e+06,0.592047
50,0.0075,3.59293e+06,0.603922
51,0.00765,3.66354e+06,0.61579
52,0.0078,3.7341e+06,0.62765
53,0.00795,3.80461e+06,0.639502
54,0.0081,3.87508e+06,0.651347
55,0.00825,3.9455e+06,0.663184
56,0.0084,4.01588e+06,0.675014
57,0.00855,4.08622e+06,0.686836
58,0.0087,4.15651e+06,0.698651
59,0.00885,4.22675e+06,0.710458
60,0.009,4.29695e+06,0.722258
61,0.00915,4.36711e+06,0.73405
62,0.0093,4.43722e+06,0.745835
63,0.00945,4.50729e+06,0.757612
64,0.0096,4.57731e+06,0.769383
65,0.00975,4.6473e+06,0.781146
66,0.0099,4.71724e+06,0.792902
67,0.01005,4.78713e+06,0.80465
68,0.0102,4.85698e+06,0.816391
69,0.01035,4.9268e+06,0.828126
70,0.0105,4.99656e+06,0.839853
71,0.01065,5.06629e+06,0.851573
72,0.0108,5.13597e+06,0.863286
73,0.01095,5.20562e+06,0.874991
74,0.0111,5.27522e+06,0.88669
75,0.01125,5.34477e+06,0.898382
