step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,69444.3,0.0116726
2,0.0003,138791,0.0233288
3,0.00045,208041,0.0349688
4,0.0006,277196,0.0465928
5,0.00075,346256,0.0582008
6,0.0009,415222,0.069793
7,0.00105,484095,0.0813697
8,0.0012,552877,0.0929309
9,0.00135,621567,0.104477
10,0.0015,690167,0.116008
11,0.00165,758679,0.127523
12,0.0018,827101,0.139024
13,0.00195,895437,0.15051
14,0.0021,963685,0.161982
15,0.00225,1.03185e+06,0.173439
16,0.0024,1.09993e+06,0.184882
17,0.00255,1.16792e+06,0.196311
18,0.0027,1.23583e+06,0.207726
19,0.00285,1.30366e+06,0.219127
20,0.003,1.3714e+06,0.230514
21,0.00315,1.43907e+06,0.241888
22,0.0033,1.50665e+06,0.253248
23,0.00345,1.57416e+06,0.264595
24,0.0036,1.64159e+06,0.275928
25,0.00375,1.70894e+06,0.287249
26,0.0039,1.77621e+06,0.298556
27,0.00405,1.84341e+06,0.309851
28,0.0042,1.91053e+06,0.321133
29,0.00435,1.97758e+06,0.332403
30,0.0045,2.04455e+06,0.34366
31,0.00465,2.11145e+06,0.354905
32,0.0048,2.17827e+06,0.366137
33,0.00495,2.24503e+06,0.377358
34,0.0051,2.31171e+06,0.388566
35,0.00525,2.37832e+06,0.399763
36,0.0054,2.44487e+06,0.410948
37,0.00555,2.51134e+06,0.422121
38,0.0057,2.57775e+06,0.433283
39,0.00585,2.64409e+06,0.444434
40,0.006,2.71036e+06,0.455573
41,0.00615,2.77656e+06,0.466701
42,0.0063,2.8427e+06,0.477818
43,0.00645,2.90877e+06,0.488924
44,0.0066,2.97478e+06,0.500019
45,0.00675,3.04073e+06,0.511104
46,0.0069,3.10661e+06,0.522178
47,0.00705,3.17243e+06,0.533241
48,0.0072,3.23819e+06,0.544294
49,0.00735,3.30388e+06,0.555337
50,0.0075,3.36952e+06,0.566369
51,0.00765,3.43509e+06,0.577391
52,0.0078,3.50061e+06,0.588404
53,0.00795,3.56607e+06,0.599406
54,0.0081,3.63146e+06,0.610398
55,0.00825,3.6968e+06,0.621381
56,0.0084,3.76209e+06,0.632354
57,0.00855,3.82731e+06,0.643318
58,0.0087,3.89248e+06,0.654272
59,0.00885,3.9576e+06,0.665217
60,0.009,4.02266e+06,0.676153
61,0.00915,4.08766e+06,0.687079
62,0.0093,4.15261e+06,0.697996
63,0.00945,4.21751e+06,0.708905
64,0.0096,4.28235e+06,0.719804
65,0.00975,4.34715e+06,0.730695
66,0.0099,4.41189e+06,0.741577
67,0.01005,4.47658e+06,0.75245
68,0.0102,4.54121e+06,0.763315
69,0.01035,4.6058e+06,0.774171
70,0.0105,4.67034e+06,0.785019
71,0.01065,4.73483e+06,0.795858
72,0.0108,4.79927e+06,0.80669
73,0.01095,4.86366e+06,0.817513
74,0.0111,4.928e+06,0.828328
75,0.01125,4.99229e+06,0.839135
76,0.0114,5.05654e+06,0.849934
77,0.01155,5.12074e+06,0.860725
78,0.0117,5.1849e+06,0.871509
79,0.01185,5.24901e+06,0.882285
80,0.012,5.31307e+06,0.893053
81,0.01215,5.37709e+06,0.903814
82,0.0123,5.44107e+06,0.914568
83,0.01245,5.505e+06,0.925313
84,0.0126,5.56889e+06,0.936052
85,0.01275,5.63273e+06,0.946784
86,0.0129,5.69653e+06,0.957508
87,0.01305,5.76029e+06,0.968225
88,0.0132,5.82401e+06,0.978935
89,0.01335,5.88769e+06,0.989638
90,0.0135,5.95132e+06,1.00033
91,0.01365,6.01492e+06,1.01102
92,0.0138,6.07847e+06,1.02171
93,0.01395,6.14199e+06,1.03238
94,0.0141,6.20546e+06,1.04305
95,0.01425,6.2689e+06,1.05371
96,0.0144,6.3323e+06,1.06437
97,0.01455,6.39566e+06,1.07502
98,0.0147,6.45898e+06,1.08566
99,0.01485,6.52227e+06,1.0963
100,0.015,6.58551e+06,1.10693
101,0.015,6.57928e+06,1.10589
102,0.015,6.57311e+06,1.10485
103,0.015,6.56699e+06,1.10382
104,0.015,6.56094e+06,1.1028
105,0.015,6.55495e+06,1.1018
106,0.015,6.54901e+06,1.1008
107,0.015,6.54314e+06,1.09981
108,0.015,6.53732e+06,1.09883
109,0.015,6.53156e+06,1.09786
110,0.015,6.52585e+06,1.0969
111,0.015,6.5202e+06,1.09596
112,0.015,6.51461e+06,1.09502
113,0.015,6.50907e+06,1.09408
114,0.015,6.50359e+06,1.09316
115,0.015,6.49816e+06,1.09225
116,0.015,6.49278e+06,1.09135
117,0.015,6.48745e+06,1.09045
118,0.015,6.48218e+06,1.08956
119,0.015,6.47696e+06,1.08869
120,0.015,6.47179e+06,1.08782
121,0.015,6.46667e+06,1.08696
122,0.015,6.4616e+06,1.0861
123,0.015,6.45658e+06,1.08526
124,0.015,6.45161e+06,1.08443
125,0.015,6.44669e+06,1.0836
126,0.015,6.44181e+06,1.08278
127,0.015,6.43699e+06,1.08197
128,0.015,6.43221e+06,1.08116
129,0.015,6.42748e+06,1.08037
130,0.015,6.42279e+06,1.07958
131,0.015,6.41815e+06,1.0788
132,0.015,6.41356e+06,1.07803
133,0.015,6.40901e+06,1.07727
134,0.015,6.40451e+06,1.07651
135,0.015,6.40005e+06,1.07576
136,0.015,6.39563e+06,1.07502
137,0.015,6.39126e+06,1.07428
138,0.015,6.38693e+06,1.07355
139,0.015,6.38264e+06,1.07283
140,0.015,6.37839e+06,1.07212
141,0.015,6.37419e+06,1.07141
142,0.015,6.37003e+06,1.07071
143,0.015,6.3659e+06,1.07002
144,0.015,6.36182e+06,1.06933
145,0.015,6.35778e+06,1.06865
146,0.015,6.35378e+06,1.06798
147,0.015,6.34981e+06,1.06732
148,0.015,6.34589e+06,1.06666
149,0.015,6.342e+06,1.066
150,0.015,6.33816e+06,1.06536
151,0.015,6.33435e+06,1.06472
152,0.015,6.33057e+06,1.06408
153,0.015,6.32684e+06,1.06345
154,0.015,6.32314e+06,1.06283
155,0.015,6.31948e+06,1.06222
156,0.015,6.31585e+06,1.06161
157,0.015,6.31226e+06,1.061
158,0.015,6.3087e+06,1.0604
159,0.015,6.30518e+06,1.05981
160,0.015,6.30169e+06,1.05923
161,0.015,6.29824e+06,1.05865
162,0.015,6.29482e+06,1.05807
163,0.015,6.29144e+06,1.0575
164,0.015,6.28808e+06,1.05694
165,0.015,6.28477e+06,1.05638
166,0.015,6.28148e+06,1.05583
167,0.015,6.27822e+06,1.05528
168,0.015,6.275e+06,1.05474
169,0.015,6.27181e+06,1.0542
170,0.015,6.26865e+06,1.05367
171,0.015,6.26552e+06,1.05315
172,0.015,6.26242e+06,1.05263
173,0.015,6.25935e+06,1.05211
174,0.015,6.25632e+06,1.0516
175,0.015,6.25331e+06,1.05109
176,0.015,6.25033e+06,1.05059
177,0.015,6.24738e+06,1.0501
178,0.015,6.24446e+06,1.04961
179,0.015,6.24157e+06,1.04912
180,0.015,6.2387e+06,1.04864
181,0.015,6.23587e+06,1.04816
182,0.015,6.23306e+06,1.04769
183,0.015,6.23028e+06,1.04722
184,0.015,6.22753e+06,1.04676
185,0.015,6.2248e+06,1.0463
186,0.015,6.2221e+06,1.04585
187,0.015,6.21943e+06,1.0454
188,0.015,6.21678e+06,1.04495
189,0.015,6.21416e+06,1.04451
190,0.015,6.21157e+06,1.04408
191,0.015,6.209e+06,1.04365
192,0.015,6.20645e+06,1.04322
193,0.015,6.20393e+06,1.04279
194,0.015,6.20144e+06,1.04238
195,0.015,6.19897e+06,1.04196
196,0.015,6.19652e+06,1.04155
197,0.015,6.1941e+06,1.04114
198,0.015,6.1917e+06,1.04074
199,0.015,6.18933e+06,1.04034
200,0.015,6.18698e+06,1.03994
201,0.015,6.18465e+06,1.03955
202,0.015,6.18234e+06,1.03917
203,0.015,6.18006e+06,1.03878
204,0.015,6.1778e+06,1.0384
205,0.015,6.17556e+06,1.03803
206,0.015,6.17334e+06,1.03765
207,0.015,6.17115e+06,1.03728
208,0.015,6.16897e+06,1.03692
209,0.015,6.16682e+06,1.03656
210,0.015,6.16469e+06,1.0362
211,0.015,6.16258e+06,1.03584
212,0.015,6.16049e+06,1.03549
213,0.015,6.15842e+06,1.03514
214,0.015,6.15637e+06,1.0348
215,0.015,6.15434e+06,1.03446
216,0.015,6.15234e+06,1.03412
217,0.015,6.15035e+06,1.03379
218,0.015,6.14838e+06,1.03346
219,0.015,6.14643e+06,1.03313
220,0.015,6.14449e+06,1.0328
221,0.015,6.14258e+06,1.03248
222,0.015,6.14069e+06,1.03216
223,0.015,6.13881e+06,1.03185
224,0.015,6.13696e+06,1.03154
225,0.015,6.13512e+06,1.03123
226,0.015,6.1333e+06,1.03092
227,0.015,6.1315e+06,1.03062
228,0.015,6.12971e+06,1.03032
229,0.015,6.12794e+06,1.03002
230,0.015,6.12619e+06,1.02973
231,0.015,6.12446e+06,1.02944
232,0.015,6.12274e+06,1.02915
233,0.015,6.12104e+06,1.02886
234,0.015,6.11936e+06,1.02858
235,0.015,6.1177e+06,1.0283
236,0.015,6.11605e+06,1.02802
237,0.015,6.11441e+06,1.02775
238,0.015,6.1128e+06,1.02748
239,0.015,6.11119e+06,1.02721
240,0.015,6.10961e+06,1.02694
241,0.015,6.10804e+06,1.02668
242,0.015,6.10648e+06,1.02641
243,0.015,6.10494e+06,1.02616
244,0.015,6.10342e+06,1.0259
245,0.015,6.10191e+06,1.02565
246,0.015,6.10041e+06,1.02539
247,0.015,6.09893e+06,1.02515
248,0.015,6.09747e+06,1.0249
249,0.015,6.09601e+06,1.02466
250,0.015,6.09458e+06,1.02441
251,0.015,6.09315e+06,1.02417
252,0.015,6.09174e+06,1.02394
253,0.015,6.09035e+06,1.0237
254,0.015,6.08897e+06,1.02347
255,0.015,6.0876e+06,1.02324
256,0.015,6.08624e+06,1.02301
257,0.015,6.0849e+06,1.02279
258,0.015,6.08357e+06,1.02256
259,0.015,6.08226e+06,1.02234
260,0.015,6.08096e+06,1.02212
261,0.015,6.07967e+06,1.02191
262,0.015,6.07839e+06,1.02169
263,0.015,6.07713e+06,1.02148
264,0.015,6.07587e+06,1.02127
265,0.015,6.07463e+06,1.02106
266,0.015,6.07341e+06,1.02085
267,0.015,6.07219e+06,1.02065
268,0.015,6.07099e+06,1.02045
269,0.015,6.06979e+06,1.02025
270,0.015,6.06861e+06,1.02005
271,0.015,6.06744e+06,1.01985
272,0.015,6.06629e+06,1.01966
273,0.015,6.06514e+06,1.01947
274,0.015,6.06401e+06,1.01927
275,0.015,6.06288e+06,1.01909
276,0.015,6.06177e+06,1.0189
277,0.015,6.06067e+06,1.01871
278,0.015,6.05958e+06,1.01853
279,0.015,6.0585e+06,1.01835
280,0.015,6.05743e+06,1.01817
281,0.015,6.05637e+06,1.01799
282,0.015,6.05532e+06,1.01781
283,0.015,6.05428e+06,1.01764
284,0.015,6.05325e+06,1.01747
285,0.015,6.05223e+06,1.0173
286,0.015,6.05123e+06,1.01713
287,0.015,6.05023e+06,1.01696
288,0.015,6.04924e+06,1.01679
289,0.015,6.04826e+06,1.01663
290,0.015,6.04729e+06,1.01647
291,0.015,6.04633e+06,1.0163
292,0.015,6.04538e+06,1.01614
293,0.015,6.04444e+06,1.01599
294,0.015,6.04351e+06,1.01583
295,0.015,6.04258e+06,1.01567
296,0.015,6.04167e+06,1.01552
297,0.015,6.04077e+06,1.01537
298,0.015,6.03987e+06,1.01522
299,0.015,6.03898e+06,1.01507
300,0.015,6.0381e+06,1.01492
301,0.015,6.03723e+06,1.01477
302,0.015,6.03637e+06,1.01463
303,0.015,6.03552e+06,1.01449
304,0.015,6.03468e+06,1.01434
305,0.015,6.03384e+06,1.0142
306,0.015,6.03301e+06,1.01407
307,0.015,6.03219e+06,1.01393
308,0.015,6.03138e+06,1.01379
309,0.015,6.03058e+06,1.01366
310,0.015,6.02978e+06,1.01352
311,0.015,6.02899e+06,1.01339
312,0.015,6.02821e+06,1.01326
313,0.015,6.02744e+06,1.01313
314,0.015,6.02667e+06,1.013
315,0.015,6.02591e+06,1.01287
316,0.015,6.02516e+06,1.01275
317,0.015,6.02442e+06,1.01262
318,0.015,6.02369e+06,1.0125
319,0.015,6.02296e+06,1.01238
320,0.015,6.02224e+06,1.01225
321,0.015,6.02152e+06,1.01213
322,0.015,6.02081e+06,1.01201
323,0.015,6.02011e+06,1.0119
