step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,39776.2,0.015205
2,0.0003,79418.9,0.0303589
3,0.00045,118930,0.0454624
4,0.0006,158309,0.0605158
5,0.00075,197560,0.0755198
6,0.0009,236682,0.0904747
7,0.00105,275677,0.105381
8,0.0012,314546,0.120239
9,0.00135,353291,0.13505
10,0.0015,391912,0.149813
11,0.00165,430411,0.16453
12,0.0018,468790,0.179201
13,0.00195,507048,0.193826
14,0.0021,545188,0.208405
15,0.00225,583211,0.22294
16,0.0024,621118,0.23743
17,0.00255,658909,0.251877
18,0.0027,696586,0.266279
19,0.00285,734151,0.280639
20,0.003,771604,0.294956
21,0.00315,808946,0.30923
22,0.0033,846178,0.323463
23,0.00345,883302,0.337654
24,0.0036,920319,0.351804
25,0.00375,957229,0.365913
26,0.0039,994034,0.379983
27,0.00405,1.03073e+06,0.394012
28,0.0042,1.06733e+06,0.408002
29,0.00435,1.10383e+06,0.421952
30,0.0045,1.14022e+06,0.435864
31,0.00465,1.17651e+06,0.449738
32,0.0048,1.21271e+06,0.463574
33,0.00495,1.2488e+06,0.477372
34,0.0051,1.2848e+06,0.491133
35,0.00525,1.32071e+06,0.504857
36,0.0054,1.35651e+06,0.518544
37,0.00555,1.39222e+06,0.532196
38,0.0057,1.42784e+06,0.545811
39,0.00585,1.46337e+06,0.559392
40,0.006,1.4988e+06,0.572937
41,0.00615,1.53415e+06,0.586447
42,0.0063,1.5694e+06,0.599923
43,0.00645,1.60456e+06,0.613365
44,0.0066,1.63964e+06,0.626773
45,0.00675,1.67463e+06,0.640148
46,0.0069,1.70953e+06,0.65349
47,0.00705,1.74435e+06,0.666799
48,0.0072,1.77908e+06,0.680075
49,0.00735,1.81372e+06,0.69332
50,0.0075,1.84829e+06,0.706532
51,0.00765,1.88277e+06,0.719714
52,0.0078,1.91717e+06,0.732864
53,0.00795,1.95149e+06,0.745983
54,0.0081,1.98573e+06,0.759071
55,0.00825,2.01989e+06,0.77213
56,0.0084,2.05397e+06,0.785158
57,0.00855,2.08798e+06,0.798157
58,0.0087,2.12191e+06,0.811126
59,0.00885,2.15576e+06,0.824066
60,0.009,2.18953e+06,0.836978
61,0.00915,2.22324e+06,0.849861
62,0.0093,2.25686e+06,0.862715
63,0.00945,2.29042e+06,0.875542
64,0.0096,2.3239e+06,0.888341
65,0.00975,2.35731e+06,0.901112
66,0.0099,2.39065e+06,0.913857
67,0.01005,2.42392e+06,0.926574
68,0.0102,2.45712e+06,0.939265
69,0.01035,2.49025e+06,0.951929
70,0.0105,2.52331e+06,0.964568
71,0.01065,2.5563e+06,0.97718
72,0.0108,2.58923e+06,0.989767
73,0.01095,2.62209e+06,1.00233
74,0.0111,2.65489e+06,1.01487
75,0.01125,2.68762e+06,1.02738
76,0.0114,2.72028e+06,1.03986
77,0.01155,2.75289e+06,1.05233
78,0.0117,2.78543e+06,1.06477
79,0.01185,2.8179e+06,1.07718
80,0.012,2.85032e+06,1.08957
81,0.01215,2.88267e+06,1.10194
82,0.0123,2.91496e+06,1.11428
83,0.01245,2.9472e+06,1.1266
84,0.0126,2.97937e+06,1.1389
85,0.01275,3.01148e+06,1.15118
86,0.0129,3.04354e+06,1.16343
87,0.01305,3.07554e+06,1.17566
88,0.0132,3.10748e+06,1.18787
89,0.01335,3.13936e+06,1.20006
90,0.0135,3.17119e+06,1.21223
91,0.01365,3.20296e+06,1.22437
92,0.0138,3.23468e+06,1.2365
93,0.01395,3.26634e+06,1.2486
94,0.0141,3.29795e+06,1.26069
95,0.01425,3.32951e+06,1.27275
96,0.0144,3.36101e+06,1.28479
97,0.01455,3.39246e+06,1.29681
98,0.0147,3.42386e+06,1.30882
99,0.01485,3.45521e+06,1.3208
100,0.015,3.48651e+06,1.33276
101,0.015,3.47798e+06,1.3295
102,0.015,3.46953e+06,1.32627
103,0.015,3.46117e+06,1.32308
104,0.015,3.45288e+06,1.31991
105,0.015,3.44468e+06,1.31678
106,0.015,3.43656e+06,1.31367
107,0.015,3.42852e+06,1.3106
108,0.015,3.42056e+06,1.30755
109,0.015,3.41268e+06,1.30454
110,0.015,3.40487e+06,1.30156
111,0.015,3.39714e+06,1.2986
112,0.015,3.38949e+06,1.29568
113,0.015,3.38191e+06,1.29278
114,0.015,3.3744e+06,1.28991
115,0.015,3.36697e+06,1.28707
116,0.015,3.35961e+06,1.28426
117,0.015,3.35233e+06,1.28147
118,0.015,3.34511e+06,1.27871
119,0.015,3.33797e+06,1.27598
120,0.015,3.33089e+06,1.27328
121,0.015,3.32389e+06,1.2706
122,0.015,3.31695e+06,1.26795
123,0.015,3.31008e+06,1.26532
124,0.015,3.30328e+06,1.26272
125,0.015,3.29655e+06,1.26015
126,0.015,3.28988e+06,1.2576
127,0.015,3.28327e+06,1.25507
128,0.015,3.27674e+06,1.25258
129,0.015,3.27026e+06,1.2501
130,0.015,3.26385e+06,1.24765
131,0.015,3.2575e+06,1.24522
132,0.015,3.25122e+06,1.24282
133,0.015,3.24499e+06,1.24044
134,0.015,3.23883e+06,1.23808
135,0.015,3.23273e+06,1.23575
136,0.015,3.22668e+06,1.23344
137,0.015,3.2207e+06,1.23115
138,0.015,3.21477e+06,1.22889
139,0.015,3.20891e+06,1.22665
140,0.015,3.2031e+06,1.22443
141,0.015,3.19734e+06,1.22223
142,0.015,3.19165e+06,1.22005
143,0.015,3.18601e+06,1.21789
144,0.015,3.18042e+06,1.21576
145,0.015,3.17489e+06,1.21364
146,0.015,3.16941e+06,1.21155
147,0.015,3.16399e+06,1.20948
148,0.015,3.15862e+06,1.20742
149,0.015,3.1533e+06,1.20539
150,0.015,3.14804e+06,1.20338
151,0.015,3.14283e+06,1.20139
152,0.015,3.13766e+06,1.19941
153,0.015,3.13255e+06,1.19746
154,0.015,3.12749e+06,1.19552
155,0.015,3.12248e+06,1.19361
156,0.015,3.11752e+06,1.19171
157,0.015,3.1126e+06,1.18983
158,0.015,3.10774e+06,1.18797
159,0.015,3.10292e+06,1.18613
160,0.015,3.09815e+06,1.18431
161,0.015,3.09342e+06,1.1825
162,0.015,3.08874e+06,1.18071
163,0.015,3.08411e+06,1.17894
164,0.015,3.07952e+06,1.17719
165,0.015,3.07498e+06,1.17545
166,0.015,3.07048e+06,1.17373
167,0.015,3.06603e+06,1.17203
168,0.015,3.06162e+06,1.17034
169,0.015,3.05726e+06,1.16868
170,0.015,3.05293e+06,1.16702
171,0.015,3.04865e+06,1.16539
172,0.015,3.04441e+06,1.16377
173,0.015,3.04021e+06,1.16216
174,0.015,3.03606e+06,1.16057
175,0.015,3.03194e+06,1.159
176,0.015,3.02786e+06,1.15744
177,0.015,3.02383e+06,1.1559
178,0.015,3.01983e+06,1.15437
179,0.015,3.01588e+06,1.15286
180,0.015,3.01196e+06,1.15136
181,0.015,3.00808e+06,1.14988
182,0.015,3.00424e+06,1.14841
183,0.015,3.00043e+06,1.14695
184,0.015,2.99666e+06,1.14551
185,0.015,2.99293e+06,1.14409
186,0.015,2.98924e+06,1.14268
187,0.015,2.98558e+06,1.14128
188,0.015,2.98196e+06,1.13989
189,0.015,2.97838e+06,1.13852
190,0.015,2.97482e+06,1.13717
191,0.015,2.97131e+06,1.13582
192,0.015,2.96783e+06,1.13449
193,0.015,2.96438e+06,1.13317
194,0.015,2.96097e+06,1.13187
195,0.015,2.95759e+06,1.13058
196,0.015,2.95424e+06,1.1293
197,0.015,2.95092e+06,1.12803
198,0.015,2.94764e+06,1.12677
199,0.015,2.94439e+06,1.12553
200,0.015,2.94117e+06,1.1243
201,0.015,2.93799e+06,1.12308
202,0.015,2.93483e+06,1.12188
203,0.015,2.93171e+06,1.12068
204,0.015,2.92862e+06,1.1195
205,0.015,2.92555e+06,1.11833
206,0.015,2.92252e+06,1.11717
207,0.015,2.91952e+06,1.11602
208,0.015,2.91654e+06,1.11489
209,0.015,2.9136e+06,1.11376
210,0.015,2.91068e+06,1.11265
211,0.015,2.90779e+06,1.11154
212,0.015,2.90493e+06,1.11045
213,0.015,2.9021e+06,1.10937
214,0.015,2.8993e+06,1.10829
215,0.015,2.89652e+06,1.10723
216,0.015,2.89377e+06,1.10618
217,0.015,2.89105e+06,1.10514
218,0.015,2.88836e+06,1.10411
219,0.015,2.88569e+06,1.10309
220,0.015,2.88305e+06,1.10208
221,0.015,2.88043e+06,1.10108
222,0.015,2.87784e+06,1.10009
223,0.015,2.87527e+06,1.09911
224,0.015,2.87273e+06,1.09814
225,0.015,2.87022e+06,1.09718
226,0.015,2.86773e+06,1.09623
227,0.015,2.86526e+06,1.09528
228,0.015,2.86282e+06,1.09435
229,0.015,2.8604e+06,1.09342
230,0.015,2.858e+06,1.09251
231,0.015,2.85563e+06,1.0916
232,0.015,2.85328e+06,1.0907
233,0.015,2.85096e+06,1.08982
234,0.015,2.84866e+06,1.08894
235,0.015,2.84638e+06,1.08806
236,0.015,2.84412e+06,1.0872
237,0.015,2.84188e+06,1.08635
238,0.015,2.83967e+06,1.0855
239,0.015,2.83748e+06,1.08466
240,0.015,2.83531e+06,1.08383
241,0.015,2.83316e+06,1.08301
242,0.015,2.83103e+06,1.0822
243,0.015,2.82892e+06,1.08139
244,0.015,2.82684e+06,1.0806
