step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,56442.8,0.0131794
2,0.0003,112752,0.0263276
3,0.00045,168930,0.039445
4,0.0006,224976,0.0525318
5,0.00075,280893,0.0655883
6,0.0009,336682,0.078615
7,0.00105,392343,0.0916119
8,0.0012,447879,0.10458
9,0.00135,503291,0.117518
10,0.0015,558579,0.130428
11,0.00165,613745,0.143309
12,0.0018,668790,0.156162
13,0.00195,723715,0.168987
14,0.0021,778522,0.181784
15,0.00225,833211,0.194554
16,0.0024,887784,0.207297
17,0.00255,942242,0.220013
18,0.0027,996586,0.232702
19,0.00285,1.05082e+06,0.245365
20,0.003,1.10494e+06,0.258002
21,0.00315,1.15895e+06,0.270613
22,0.0033,1.21285e+06,0.283199
23,0.00345,1.26664e+06,0.295759
24,0.0036,1.32032e+06,0.308294
25,0.00375,1.3739e+06,0.320804
26,0.0039,1.42737e+06,0.333289
27,0.00405,1.48073e+06,0.345751
28,0.0042,1.534e+06,0.358188
29,0.00435,1.58716e+06,0.370601
30,0.0045,1.64022e+06,0.382991
31,0.00465,1.69318e+06,0.395357
32,0.0048,1.74604e+06,0.4077
33,0.00495,1.7988e+06,0.42002
34,0.0051,1.85147e+06,0.432317
35,0.00525,1.90404e+06,0.444592
36,0.0054,1.95651e+06,0.456844
37,0.00555,2.00889e+06,0.469075
38,0.0057,2.06118e+06,0.481283
39,0.00585,2.11337e+06,0.49347
40,0.006,2.16547e+06,0.505636
41,0.00615,2.21748e+06,0.51778
42,0.0063,2.2694e+06,0.529903
43,0.00645,2.32123e+06,0.542006
44,0.0066,2.37297e+06,0.554087
45,0.00675,2.42463e+06,0.566149
46,0.0069,2.4762e+06,0.57819
47,0.00705,2.52768e+06,0.590211
48,0.0072,2.57908e+06,0.602213
49,0.00735,2.63039e+06,0.614195
50,0.0075,2.68162e+06,0.626157
51,0.00765,2.73277e+06,0.6381
52,0.0078,2.78384e+06,0.650024
53,0.00795,2.83482e+06,0.66193
54,0.0081,2.88573e+06,0.673816
55,0.00825,2.93656e+06,0.685684
56,0.0084,2.98731e+06,0.697534
57,0.00855,3.03798e+06,0.709366
58,0.0087,3.08857e+06,0.72118
59,0.00885,3.13909e+06,0.732976
60,0.009,3.18953e+06,0.744754
61,0.00915,3.2399e+06,0.756515
62,0.0093,3.2902e+06,0.768259
63,0.00945,3.34042e+06,0.779985
64,0.0096,3.39057e+06,0.791695
65,0.00975,3.44064e+06,0.803388
66,0.0099,3.49065e+06,0.815064
67,0.01005,3.54058e+06,0.826724
68,0.0102,3.59045e+06,0.838368
69,0.01035,3.64025e+06,0.849996
70,0.0105,3.68998e+06,0.861607
71,0.01065,3.73964e+06,0.873203
72,0.0108,3.78923e+06,0.884783
73,0.01095,3.83876e+06,0.896348
74,0.0111,3.88822e+06,0.907897
75,0.01125,3.93762e+06,0.919431
76,0.0114,3.98695e+06,0.930951
77,0.01155,4.03622e+06,0.942455
78,0.0117,4.08543e+06,0.953944
79,0.01185,4.13457e+06,0.965419
80,0.012,4.18365e+06,0.97688
81,0.01215,4.23267e+06,0.988326
82,0.0123,4.28163e+06,0.999758
83,0.01245,4.33053e+06,1.01118
84,0.0126,4.37937e+06,1.02258
85,0.01275,4.42815e+06,1.03397
86,0.0129,4.47687e+06,1.04535
87,0.01305,4.52554e+06,1.05671
88,0.0132,4.57414e+06,1.06806
89,0.01335,4.6227e+06,1.0794
90,0.0135,4.67119e+06,1.09072
91,0.01365,4.71963e+06,1.10203
92,0.0138,4.76801e+06,1.11333
93,0.01395,4.81634e+06,1.12461
94,0.0141,4.86462e+06,1.13589
95,0.01425,4.91284e+06,1.14715
96,0.0144,4.96101e+06,1.15839
97,0.01455,5.00913e+06,1.16963
98,0.0147,5.05719e+06,1.18085
99,0.01485,5.10521e+06,1.19206
100,0.015,5.15317e+06,1.20326
101,0.015,5.14464e+06,1.20127
102,0.015,5.1362e+06,1.1993
103,0.015,5.12783e+06,1.19735
104,0.015,5.11955e+06,1.19541
105,0.015,5.11135e+06,1.1935
106,0.015,5.10323e+06,1.1916
107,0.015,5.09519e+06,1.18972
108,0.015,5.08723e+06,1.18786
109,0.015,5.07934e+06,1.18602
110,0.015,5.07154e+06,1.1842
111,0.015,5.06381e+06,1.1824
112,0.015,5.05615e+06,1.18061
113,0.015,5.04857e+06,1.17884
114,0.015,5.04107e+06,1.17709
115,0.015,5.03364e+06,1.17535
116,0.015,5.02628e+06,1.17363
117,0.015,5.01899e+06,1.17193
118,0.015,5.01178e+06,1.17025
119,0.015,5.00463e+06,1.16858
120,0.015,4.99756e+06,1.16693
121,0.015,4.99055e+06,1.16529
122,0.015,4.98362e+06,1.16367
123,0.015,4.97675e+06,1.16207
124,0.015,4.96995e+06,1.16048
125,0.015,4.96321e+06,1.15891
126,0.015,4.95654e+06,1.15735
127,0.015,4.94994e+06,1.15581
128,0.015,4.9434e+06,1.15428
129,0.015,4.93693e+06,1.15277
130,0.015,4.93052e+06,1.15127
131,0.015,4.92417e+06,1.14979
132,0.015,4.91788e+06,1.14832
133,0.015,4.91166e+06,1.14687
134,0.015,4.9055e+06,1.14543
135,0.015,4.89939e+06,1.14401
136,0.015,4.89335e+06,1.14259
137,0.015,4.88737e+06,1.1412
138,0.015,4.88144e+06,1.13981
139,0.015,4.87557e+06,1.13844
140,0.015,4.86976e+06,1.13709
141,0.015,4.86401e+06,1.13574
142,0.015,4.85831e+06,1.13441
143,0.015,4.85267e+06,1.1331
144,0.015,4.84709e+06,1.13179
145,0.015,4.84156e+06,1.1305
146,0.015,4.83608e+06,1.12922
147,0.015,4.83066e+06,1.12796
148,0.015,4.82529e+06,1.1267
149,0.015,4.81997e+06,1.12546
150,0.015,4.81471e+06,1.12423
151,0.015,4.80949e+06,1.12301
152,0.015,4.80433e+06,1.12181
153,0.015,4.79922e+06,1.12061
154,0.015,4.79416e+06,1.11943
155,0.015,4.78915e+06,1.11826
156,0.015,4.78418e+06,1.1171
157,0.015,4.77927e+06,1.11596
158,0.015,4.7744e+06,1.11482
159,0.015,4.76958e+06,1.11369
160,0.015,4.76481e+06,1.11258
161,0.015,4.76009e+06,1.11148
162,0.015,4.75541e+06,1.11039
163,0.015,4.75078e+06,1.1093
164,0.015,4.74619e+06,1.10823
165,0.015,4.74165e+06,1.10717
166,0.015,4.73715e+06,1.10612
167,0.015,4.7327e+06,1.10508
168,0.015,4.72829e+06,1.10405
169,0.015,4.72392e+06,1.10303
170,0.015,4.7196e+06,1.10202
171,0.015,4.71532e+06,1.10102
172,0.015,4.71108e+06,1.10003
173,0.015,4.70688e+06,1.09905
174,0.015,4.70272e+06,1.09808
175,0.015,4.69861e+06,1.09712
176,0.015,4.69453e+06,1.09617
177,0.015,4.6905e+06,1.09523
178,0.015,4.6865e+06,1.09429
179,0.015,4.68254e+06,1.09337
180,0.015,4.67862e+06,1.09246
181,0.015,4.67474e+06,1.09155
182,0.015,4.6709e+06,1.09065
183,0.015,4.6671e+06,1.08976
184,0.015,4.66333e+06,1.08888
185,0.015,4.6596e+06,1.08801
186,0.015,4.65591e+06,1.08715
187,0.015,4.65225e+06,1.0863
188,0.015,4.64863e+06,1.08545
189,0.015,4.64504e+06,1.08461
190,0.015,4.64149e+06,1.08379
191,0.015,4.63798e+06,1.08296
192,0.015,4.63449e+06,1.08215
193,0.015,4.63105e+06,1.08135
194,0.015,4.62763e+06,1.08055
195,0.015,4.62425e+06,1.07976
196,0.015,4.62091e+06,1.07898
197,0.015,4.61759e+06,1.0782
198,0.015,4.61431e+06,1.07744
199,0.015,4.61106e+06,1.07668
200,0.015,4.60784e+06,1.07593
201,0.015,4.60466e+06,1.07518
202,0.015,4.6015e+06,1.07445
203,0.015,4.59838e+06,1.07372
204,0.015,4.59528e+06,1.073
205,0.015,4.59222e+06,1.07228
206,0.015,4.58919e+06,1.07157
207,0.015,4.58618e+06,1.07087
208,0.015,4.58321e+06,1.07018
209,0.015,4.58026e+06,1.06949
210,0.015,4.57735e+06,1.06881
211,0.015,4.57446e+06,1.06813
212,0.015,4.5716e+06,1.06747
213,0.015,4.56877e+06,1.0668
214,0.015,4.56597e+06,1.06615
215,0.015,4.56319e+06,1.0655
216,0.015,4.56044e+06,1.06486
217,0.015,4.55772e+06,1.06422
218,0.015,4.55502e+06,1.0636
219,0.015,4.55236e+06,1.06297
220,0.015,4.54971e+06,1.06236
221,0.015,4.5471e+06,1.06174
222,0.015,4.5445e+06,1.06114
223,0.015,4.54194e+06,1.06054
224,0.015,4.5394e+06,1.05995
225,0.015,4.53688e+06,1.05936
226,0.015,4.53439e+06,1.05878
227,0.015,4.53193e+06,1.0582
228,0.015,4.52948e+06,1.05763
229,0.015,4.52706e+06,1.05707
230,0.015,4.52467e+06,1.05651
231,0.015,4.5223e+06,1.05595
232,0.015,4.51995e+06,1.05541
233,0.015,4.51763e+06,1.05486
234,0.015,4.51532e+06,1.05433
235,0.015,4.51304e+06,1.05379
236,0.015,4.51079e+06,1.05327
237,0.015,4.50855e+06,1.05274
238,0.015,4.50634e+06,1.05223
239,0.015,4.50415e+06,1.05172
240,0.015,4.50197e+06,1.05121
241,0.015,4.49983e+06,1.05071
242,0.015,4.4977e+06,1.05021
243,0.015,4.49559e+06,1.04972
244,0.015,4.4935e+06,1.04923
245,0.015,4.49144e+06,1.04875
246,0.015,4.48939e+06,1.04827
247,0.015,4.48737e+06,1.0478
248,0.015,4.48536e+06,1.04733
249,0.015,4.48338e+06,1.04687
250,0.015,4.48141e+06,1.04641
251,0.015,4.47946e+06,1.04595
252,0.015,4.47753e+06,1.0455
253,0.015,4.47562e+06,1.04506
254,0.015,4.47373e+06,1.04461
255,0.015,4.47186e+06,1.04418
256,0.015,4.47001e+06,1.04374
257,0.015,4.46817e+06,1.04332
258,0.015,4.46635e+06,1.04289
259,0.015,4.46455e+06,1.04247
260,0.015,4.46277e+06,1.04205
261,0.015,4.46101e+06,1.04164
262,0.015,4.45926e+06,1.04123
263,0.015,4.45753e+06,1.04083
264,0.015,4.45581e+06,1.04043
265,0.015,4.45412e+06,1.04003
266,0.015,4.45244e+06,1.03964
267,0.015,4.45077e+06,1.03925
268,0.015,4.44913e+06,1.03887
269,0.015,4.4475e+06,1.03849
270,0.015,4.44588e+06,1.03811
271,0.015,4.44428e+06,1.03774
