step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,71102.7,0.0119514
2,0.0003,142092,0.0238836
3,0.00045,212968,0.035797
4,0.0006,283733,0.0476915
5,0.00075,354387,0.0595676
6,0.0009,424932,0.0714252
7,0.00105,495369,0.0832646
8,0.0012,565698,0.095086
9,0.00135,635922,0.10689
10,0.0015,706040,0.118675
11,0.00165,776054,0.130444
12,0.0018,845965,0.142195
13,0.00195,915774,0.153929
14,0.0021,985481,0.165646
15,0.00225,1.05509e+06,0.177346
16,0.0024,1.1246e+06,0.189029
17,0.00255,1.19401e+06,0.200696
18,0.0027,1.26332e+06,0.212347
19,0.00285,1.33254e+06,0.223981
20,0.003,1.40166e+06,0.2356
21,0.00315,1.47069e+06,0.247202
22,0.0033,1.53962e+06,0.258789
23,0.00345,1.60846e+06,0.27036
24,0.0036,1.67721e+06,0.281916
25,0.00375,1.74587e+06,0.293457
26,0.0039,1.81444e+06,0.304982
27,0.00405,1.88292e+06,0.316493
28,0.0042,1.95131e+06,0.327989
29,0.00435,2.01962e+06,0.33947
30,0.0045,2.08784e+06,0.350937
31,0.00465,2.15597e+06,0.362389
32,0.0048,2.22402e+06,0.373827
33,0.00495,2.29199e+06,0.385251
34,0.0051,2.35987e+06,0.396661
35,0.00525,2.42767e+06,0.408057
36,0.0054,2.49539e+06,0.419439
37,0.00555,2.56302e+06,0.430808
38,0.0057,2.63058e+06,0.442164
39,0.00585,2.69806e+06,0.453506
40,0.006,2.76546e+06,0.464835
41,0.00615,2.83278e+06,0.476151
42,0.0063,2.90003e+06,0.487455
43,0.00645,2.9672e+06,0.498745
44,0.0066,3.0343e+06,0.510023
45,0.00675,3.10132e+06,0.521288
46,0.0069,3.16826e+06,0.532541
47,0.00705,3.23514e+06,0.543781
48,0.0072,3.30194e+06,0.55501
49,0.00735,3.36867e+06,0.566226
50,0.0075,3.43533e+06,0.577431
51,0.00765,3.50192e+06,0.588623
52,0.0078,3.56844e+06,0.599804
53,0.00795,3.63489e+06,0.610974
54,0.0081,3.70127e+06,0.622132
55,0.00825,3.76758e+06,0.633278
56,0.0084,3.83383e+06,0.644414
57,0.00855,3.90001e+06,0.655538
58,0.0087,3.96613e+06,0.666651
59,0.00885,4.03218e+06,0.677753
60,0.009,4.09817e+06,0.688845
61,0.00915,4.16409e+06,0.699926
62,0.0093,4.22995e+06,0.710996
63,0.00945,4.29575e+06,0.722056
64,0.0096,4.36149e+06,0.733105
65,0.00975,4.42716e+06,0.744144
66,0.0099,4.49277e+06,0.755173
67,0.01005,4.55833e+06,0.766192
68,0.0102,4.62382e+06,0.7772
69,0.01035,4.68926e+06,0.788199
70,0.0105,4.75464e+06,0.799189
71,0.01065,4.81996e+06,0.810168
72,0.0108,4.88522e+06,0.821138
73,0.01095,4.95043e+06,0.832098
74,0.0111,5.01558e+06,0.843049
75,0.01125,5.08068e+06,0.853991
76,0.0114,5.14572e+06,0.864923
77,0.01155,5.2107e+06,0.875846
78,0.0117,5.27563e+06,0.886761
79,0.01185,5.34051e+06,0.897666
80,0.012,5.40534e+06,0.908562
81,0.01215,5.47011e+06,0.91945
82,0.0123,5.53484e+06,0.930329
83,0.01245,5.59951e+06,0.941199
84,0.0126,5.66413e+06,0.952061
85,0.01275,5.7287e+06,0.962914
86,0.0129,5.79322e+06,0.973759
87,0.01305,5.85769e+06,0.984596
88,0.0132,5.92211e+06,0.995424
89,0.01335,5.98648e+06,1.00624
90,0.0135,6.05081e+06,1.01706
91,0.01365,6.11509e+06,1.02786
92,0.0138,6.17932e+06,1.03866
93,0.01395,6.24351e+06,1.04945
94,0.0141,6.30765e+06,1.06023
95,0.01425,6.37174e+06,1.071
96,0.0144,6.43579e+06,1.08177
97,0.01455,6.49979e+06,1.09252
98,0.0147,6.56375e+06,1.10328
99,0.01485,6.62767e+06,1.11402
100,0.015,6.69154e+06,1.12476
101,0.015,6.68427e+06,1.12353
102,0.015,6.67707e+06,1.12232
103,0.015,6.66994e+06,1.12112
104,0.015,6.66288e+06,1.11994
105,0.015,6.65588e+06,1.11876
106,0.015,6.64896e+06,1.1176
107,0.015,6.64211e+06,1.11645
108,0.015,6.63532e+06,1.1153
109,0.015,6.6286e+06,1.11417
110,0.015,6.62194e+06,1.11306
111,0.015,6.61535e+06,1.11195
112,0.015,6.60882e+06,1.11085
113,0.015,6.60236e+06,1.10976
114,0.015,6.59596e+06,1.10869
115,0.015,6.58963e+06,1.10762
116,0.015,6.58335e+06,1.10657
117,0.015,6.57714e+06,1.10553
118,0.015,6.57099e+06,1.10449
119,0.015,6.5649e+06,1.10347
120,0.015,6.55886e+06,1.10245
121,0.015,6.55289e+06,1.10145
122,0.015,6.54698e+06,1.10046
123,0.015,6.54112e+06,1.09947
124,0.015,6.53532e+06,1.0985
125,0.015,6.52958e+06,1.09753
126,0.015,6.52389e+06,1.09658
127,0.015,6.51826e+06,1.09563
128,0.015,6.51269e+06,1.09469
129,0.015,6.50717e+06,1.09376
130,0.015,6.5017e+06,1.09285
131,0.015,6.49629e+06,1.09194
132,0.015,6.49093e+06,1.09104
133,0.015,6.48562e+06,1.09014
134,0.015,6.48037e+06,1.08926
135,0.015,6.47517e+06,1.08839
136,0.015,6.47001e+06,1.08752
137,0.015,6.46491e+06,1.08666
138,0.015,6.45986e+06,1.08581
139,0.015,6.45486e+06,1.08497
140,0.015,6.4499e+06,1.08414
141,0.015,6.445e+06,1.08331
142,0.015,6.44014e+06,1.0825
143,0.015,6.43533e+06,1.08169
144,0.015,6.43057e+06,1.08089
145,0.015,6.42585e+06,1.0801
146,0.015,6.42118e+06,1.07931
147,0.015,6.41656e+06,1.07853
148,0.015,6.41198e+06,1.07776
149,0.015,6.40745e+06,1.077
150,0.015,6.40296e+06,1.07625
151,0.015,6.39852e+06,1.0755
152,0.015,6.39411e+06,1.07476
153,0.015,6.38976e+06,1.07403
154,0.015,6.38544e+06,1.0733
155,0.015,6.38117e+06,1.07259
156,0.015,6.37694e+06,1.07187
157,0.015,6.37275e+06,1.07117
158,0.015,6.3686e+06,1.07047
159,0.015,6.36449e+06,1.06978
160,0.015,6.36042e+06,1.0691
161,0.015,6.35639e+06,1.06842
162,0.015,6.3524e+06,1.06775
163,0.015,6.34845e+06,1.06709
164,0.015,6.34454e+06,1.06643
165,0.015,6.34067e+06,1.06578
166,0.015,6.33684e+06,1.06513
167,0.015,6.33304e+06,1.0645
168,0.015,6.32928e+06,1.06386
169,0.015,6.32556e+06,1.06324
170,0.015,6.32187e+06,1.06262
171,0.015,6.31822e+06,1.062
172,0.015,6.3146e+06,1.0614
173,0.015,6.31102e+06,1.0608
174,0.015,6.30748e+06,1.0602
175,0.015,6.30397e+06,1.05961
176,0.015,6.3005e+06,1.05903
177,0.015,6.29706e+06,1.05845
178,0.015,6.29365e+06,1.05787
179,0.015,6.29027e+06,1.05731
180,0.015,6.28693e+06,1.05675
181,0.015,6.28363e+06,1.05619
182,0.015,6.28035e+06,1.05564
183,0.015,6.27711e+06,1.05509
184,0.015,6.27389e+06,1.05455
185,0.015,6.27071e+06,1.05402
186,0.015,6.26757e+06,1.05349
187,0.015,6.26445e+06,1.05297
188,0.015,6.26136e+06,1.05245
189,0.015,6.2583e+06,1.05193
190,0.015,6.25527e+06,1.05142
191,0.015,6.25228e+06,1.05092
192,0.015,6.24931e+06,1.05042
193,0.015,6.24637e+06,1.04993
194,0.015,6.24346e+06,1.04944
195,0.015,6.24058e+06,1.04895
196,0.015,6.23772e+06,1.04847
197,0.015,6.2349e+06,1.048
198,0.015,6.2321e+06,1.04753
199,0.015,6.22933e+06,1.04706
200,0.015,6.22658e+06,1.0466
201,0.015,6.22387e+06,1.04615
202,0.015,6.22118e+06,1.04569
203,0.015,6.21851e+06,1.04525
204,0.015,6.21588e+06,1.0448
205,0.015,6.21326e+06,1.04436
206,0.015,6.21068e+06,1.04393
