step,strain,p,p_over_p_eq
0,0,0,0
1,0.00015,48109.5,0.0139475
2,0.0003,96085.6,0.0278563
3,0.00045,143930,0.0417268
4,0.0006,191643,0.0555594
5,0.00075,239226,0.0693544
6,0.0009,286682,0.0831122
7,0.00105,334010,0.0968332
8,0.0012,381213,0.110518
9,0.00135,428291,0.124166
10,0.0015,475245,0.137779
11,0.00165,522078,0.151356
12,0.0018,568790,0.164898
13,0.00195,615382,0.178406
14,0.0021,661855,0.191879
15,0.00225,708211,0.205318
16,0.0024,754451,0.218724
17,0.00255,800576,0.232096
18,0.0027,846586,0.245435
19,0.00285,892484,0.258741
20,0.003,938270,0.272015
21,0.00315,983946,0.285257
22,0.0033,1.02951e+06,0.298467
23,0.00345,1.07497e+06,0.311645
24,0.0036,1.12032e+06,0.324793
25,0.00375,1.16556e+06,0.33791
26,0.0039,1.2107e+06,0.350996
27,0.00405,1.25573e+06,0.364051
28,0.0042,1.30067e+06,0.377077
29,0.00435,1.34549e+06,0.390074
30,0.0045,1.39022e+06,0.40304
31,0.00465,1.43485e+06,0.415978
32,0.0048,1.47938e+06,0.428887
33,0.00495,1.5238e+06,0.441768
34,0.0051,1.56814e+06,0.45462
35,0.00525,1.61237e+06,0.467444
36,0.0054,1.65651e+06,0.480241
37,0.00555,1.70056e+06,0.49301
38,0.0057,1.74451e+06,0.505753
39,0.00585,1.78837e+06,0.518468
40,0.006,1.83214e+06,0.531156
41,0.00615,1.87581e+06,0.543819
42,0.0063,1.9194e+06,0.556455
43,0.00645,1.9629e+06,0.569065
44,0.0066,2.00631e+06,0.58165
45,0.00675,2.04963e+06,0.59421
46,0.0069,2.09286e+06,0.606744
47,0.00705,2.13601e+06,0.619254
48,0.0072,2.17908e+06,0.631739
49,0.00735,2.22206e+06,0.644199
50,0.0075,2.26496e+06,0.656636
51,0.00765,2.30777e+06,0.669048
52,0.0078,2.3505e+06,0.681437
53,0.00795,2.39316e+06,0.693803
54,0.0081,2.43573e+06,0.706145
55,0.00825,2.47822e+06,0.718465
56,0.0084,2.52064e+06,0.730762
57,0.00855,2.56298e+06,0.743036
58,0.0087,2.60524e+06,0.755288
59,0.00885,2.64742e+06,0.767518
60,0.009,2.68953e+06,0.779726
61,0.00915,2.73157e+06,0.791912
62,0.0093,2.77353e+06,0.804077
63,0.00945,2.81542e+06,0.816221
64,0.0096,2.85723e+06,0.828344
65,0.00975,2.89898e+06,0.840445
66,0.0099,2.94065e+06,0.852527
67,0.01005,2.98225e+06,0.864588
68,0.0102,3.02378e+06,0.876629
69,0.01035,3.06525e+06,0.888649
70,0.0105,3.10664e+06,0.90065
71,0.01065,3.14797e+06,0.912632
72,0.0108,3.18923e+06,0.924594
73,0.01095,3.23043e+06,0.936536
74,0.0111,3.27155e+06,0.94846
75,0.01125,3.31262e+06,0.960365
76,0.0114,3.35362e+06,0.972251
77,0.01155,3.39455e+06,0.984119
78,0.0117,3.43543e+06,0.995968
79,0.01185,3.47624e+06,1.0078
80,0.012,3.51698e+06,1.01961
81,0.01215,3.55767e+06,1.03141
82,0.0123,3.5983e+06,1.04319
83,0.01245,3.63886e+06,1.05495
84,0.0126,3.67937e+06,1.06669
85,0.01275,3.71982e+06,1.07842
86,0.0129,3.76021e+06,1.09013
87,0.01305,3.80054e+06,1.10182
88,0.0132,3.84081e+06,1.11349
89,0.01335,3.88103e+06,1.12515
90,0.0135,3.92119e+06,1.1368
91,0.01365,3.9613e+06,1.14842
92,0.0138,4.00135e+06,1.16003
93,0.01395,4.04134e+06,1.17163
94,0.0141,4.08129e+06,1.18321
95,0.01425,4.12118e+06,1.19477
96,0.0144,4.16101e+06,1.20632
97,0.01455,4.2008e+06,1.21786
98,0.0147,4.24053e+06,1.22938
99,0.01485,4.28021e+06,1.24088
100,0.015,4.31984e+06,1.25237
101,0.015,4.31131e+06,1.2499
102,0.015,4.30286e+06,1.24745
103,0.015,4.2945e+06,1.24502
104,0.015,4.28622e+06,1.24262
105,0.015,4.27802e+06,1.24024
106,0.015,4.2699e+06,1.23789
107,0.015,4.26186e+06,1.23556
108,0.015,4.25389e+06,1.23325
109,0.015,4.24601e+06,1.23097
110,0.015,4.2382e+06,1.2287
111,0.015,4.23047e+06,1.22646
112,0.015,4.22282e+06,1.22424
113,0.015,4.21524e+06,1.22205
114,0.015,4.20774e+06,1.21987
115,0.015,4.2003e+06,1.21771
116,0.015,4.19295e+06,1.21558
117,0.015,4.18566e+06,1.21347
118,0.015,4.17844e+06,1.21138
119,0.015,4.1713e+06,1.20931
120,0.015,4.16423e+06,1.20726
121,0.015,4.15722e+06,1.20522
122,0.015,4.15028e+06,1.20321
123,0.015,4.14342e+06,1.20122
124,0.015,4.13661e+06,1.19925
125,0.015,4.12988e+06,1.1973
126,0.015,4.12321e+06,1.19536
127,0.015,4.11661e+06,1.19345
128,0.015,4.11007e+06,1.19155
129,0.015,4.1036e+06,1.18968
130,0.015,4.09718e+06,1.18782
131,0.015,4.09084e+06,1.18598
132,0.015,4.08455e+06,1.18416
133,0.015,4.07833e+06,1.18235
134,0.015,4.07216e+06,1.18057
135,0.015,4.06606e+06,1.1788
136,0.015,4.06002e+06,1.17704
137,0.015,4.05403e+06,1.17531
138,0.015,4.04811e+06,1.17359
139,0.015,4.04224e+06,1.17189
140,0.015,4.03643e+06,1.17021
141,0.015,4.03068e+06,1.16854
142,0.015,4.02498e+06,1.16689
143,0.015,4.01934e+06,1.16525
144,0.015,4.01375e+06,1.16363
145,0.015,4.00822e+06,1.16203
146,0.015,4.00275e+06,1.16044
147,0.015,3.99732e+06,1.15887
148,0.015,3.99196e+06,1.15731
149,0.015,3.98664e+06,1.15577
150,0.015,3.98137e+06,1.15424
151,0.015,3.97616e+06,1.15273
152,0.015,3.971e+06,1.15124
153,0.015,3.96589e+06,1.14975
154,0.015,3.96082e+06,1.14829
155,0.015,3.95581e+06,1.14683
156,0.015,3.95085e+06,1.1454
